alternative_gdp_per_capita_ppp_pwt_7_1,geo,time
1041.0,afg,1970
981.9,afg,1971
929.6,afg,1972
995.3,afg,1973
1059.0,afg,1974
1088.0,afg,1975
1163.0,afg,1976
1172.0,afg,1977
1205.0,afg,1978
1148.0,afg,1979
1142.0,afg,1980
1285.0,afg,1981
1424.0,afg,1982
1512.0,afg,1983
1501.0,afg,1984
1466.0,afg,1985
1511.0,afg,1986
1365.0,afg,1987
1243.0,afg,1988
1128.0,afg,1989
1089.0,afg,1990
969.8,afg,1991
902.1,afg,1992
600.9,afg,1993
431.8,afg,1994
619.0,afg,1995
570.4,afg,1996
527.2,afg,1997
490.6,afg,1998
454.0,afg,1999
427.4,afg,2000
406.2,afg,2001
614.8,afg,2002
703.9,afg,2003
696.6,afg,2004
775.7,afg,2005
799.4,afg,2006
894.2,afg,2007
894.0,afg,2008
1018.0,afg,2009
1049.0,afg,2010
2886.0,alb,1970
2930.0,alb,1971
2974.0,alb,1972
3052.0,alb,1973
3099.0,alb,1974
3156.0,alb,1975
3214.0,alb,1976
3252.0,alb,1977
3339.0,alb,1978
3403.0,alb,1979
3375.0,alb,1980
3627.0,alb,1981
3613.0,alb,1982
3560.0,alb,1983
3398.0,alb,1984
3447.0,alb,1985
3616.0,alb,1986
3616.0,alb,1987
3504.0,alb,1988
3699.0,alb,1989
3231.0,alb,1990
2339.0,alb,1991
2295.0,alb,1992
2516.0,alb,1993
2681.0,alb,1994
2986.0,alb,1995
3231.0,alb,1996
3076.0,alb,1997
2959.0,alb,1998
3297.0,alb,1999
3416.0,alb,2000
3527.0,alb,2001
3629.0,alb,2002
4064.0,alb,2003
4560.0,alb,2004
4939.0,alb,2005
5398.0,alb,2006
5902.0,alb,2007
6606.0,alb,2008
6790.0,alb,2009
6617.0,alb,2010
4073.0,dza,1960
3899.0,dza,1961
2482.0,dza,1962
3016.0,dza,1963
3199.0,dza,1964
3383.0,dza,1965
3094.0,dza,1966
3364.0,dza,1967
3612.0,dza,1968
3794.0,dza,1969
4050.0,dza,1970
3454.0,dza,1971
4235.0,dza,1972
4190.0,dza,1973
4004.0,dza,1974
4084.0,dza,1975
4217.0,dza,1976
4409.0,dza,1977
4752.0,dza,1978
5169.0,dza,1979
4868.0,dza,1980
4764.0,dza,1981
4973.0,dza,1982
5065.0,dza,1983
5202.0,dza,1984
5209.0,dza,1985
5217.0,dza,1986
5172.0,dza,1987
5017.0,dza,1988
5031.0,dza,1989
5002.0,dza,1990
4902.0,dza,1991
4840.0,dza,1992
4641.0,dza,1993
4487.0,dza,1994
4569.0,dza,1995
4730.0,dza,1996
4700.0,dza,1997
4888.0,dza,1998
4964.0,dza,1999
4991.0,dza,2000
5066.0,dza,2001
5253.0,dza,2002
5552.0,dza,2003
5762.0,dza,2004
5989.0,dza,2005
6003.0,dza,2006
6110.0,dza,2007
6179.0,dza,2008
6179.0,dza,2009
6260.0,dza,2010
2367.0,ago,1970
2445.0,ago,1971
2390.0,ago,1972
2527.0,ago,1973
2624.0,ago,1974
2532.0,ago,1975
2382.0,ago,1976
2312.0,ago,1977
2142.0,ago,1978
2096.0,ago,1979
2050.0,ago,1980
1995.0,ago,1981
1869.0,ago,1982
1904.0,ago,1983
1972.0,ago,1984
1980.0,ago,1985
1819.0,ago,1986
1921.0,ago,1987
2010.0,ago,1988
1989.0,ago,1989
1939.0,ago,1990
1866.0,ago,1991
1979.0,ago,1992
1614.0,ago,1993
1737.0,ago,1994
1922.0,ago,1995
2576.0,ago,1996
2192.0,ago,1997
2396.0,ago,1998
2404.0,ago,1999
2332.0,ago,2000
2191.0,ago,2001
2486.0,ago,2002
2458.0,ago,2003
2599.0,ago,2004
3055.0,ago,2005
3599.0,ago,2006
4465.0,ago,2007
4965.0,ago,2008
5167.0,ago,2009
5108.0,ago,2010
4593.0,atg,1970
4886.0,atg,1971
5195.0,atg,1972
5569.0,atg,1973
5772.0,atg,1974
5426.0,atg,1975
4843.0,atg,1976
5397.0,atg,1977
5400.0,atg,1978
5634.0,atg,1979
6566.0,atg,1980
6709.0,atg,1981
6661.0,atg,1982
7669.0,atg,1983
8414.0,atg,1984
9019.0,atg,1985
9743.0,atg,1986
9946.0,atg,1987
10830.0,atg,1988
11530.0,atg,1989
11670.0,atg,1990
11710.0,atg,1991
11540.0,atg,1992
11940.0,atg,1993
12860.0,atg,1994
12600.0,atg,1995
13220.0,atg,1996
13330.0,atg,1997
13700.0,atg,1998
14260.0,atg,1999
13900.0,atg,2000
14120.0,atg,2001
14770.0,atg,2002
14220.0,atg,2003
14960.0,atg,2004
15010.0,atg,2005
16040.0,atg,2006
17670.0,atg,2007
16790.0,atg,2008
15210.0,atg,2009
14470.0,atg,2010
5273.0,arg,1950
5480.0,arg,1951
5038.0,arg,1952
5167.0,arg,1953
5246.0,arg,1954
5534.0,arg,1955
5531.0,arg,1956
5689.0,arg,1957
5982.0,arg,1958
5561.0,arg,1959
6033.0,arg,1960
6152.0,arg,1961
6103.0,arg,1962
5780.0,arg,1963
6163.0,arg,1964
6692.0,arg,1965
6607.0,arg,1966
6711.0,arg,1967
6925.0,arg,1968
7482.0,arg,1969
7615.0,arg,1970
7823.0,arg,1971
7823.0,arg,1972
7934.0,arg,1973
8210.0,arg,1974
8045.0,arg,1975
7933.0,arg,1976
8382.0,arg,1977
7916.0,arg,1978
8393.0,arg,1979
8487.0,arg,1980
7875.0,arg,1981
7604.0,arg,1982
7774.0,arg,1983
7656.0,arg,1984
7009.0,arg,1985
7618.0,arg,1986
7690.0,arg,1987
7534.0,arg,1988
6903.0,arg,1989
6941.0,arg,1990
7423.0,arg,1991
7846.0,arg,1992
8167.0,arg,1993
8508.0,arg,1994
8329.0,arg,1995
8641.0,arg,1996
9148.0,arg,1997
9404.0,arg,1998
9055.0,arg,1999
8902.0,arg,2000
8552.0,arg,2001
7916.0,arg,2002
8442.0,arg,2003
8977.0,arg,2004
9671.0,arg,2005
10320.0,arg,2006
11000.0,arg,2007
11480.0,arg,2008
11590.0,arg,2009
12340.0,arg,2010
1606.0,arm,1993
1721.0,arm,1994
1918.0,arm,1995
2029.0,arm,1996
2039.0,arm,1997
2212.0,arm,1998
2296.0,arm,1999
2518.0,arm,2000
2837.0,arm,2001
3186.0,arm,2002
3482.0,arm,2003
3940.0,arm,2004
4452.0,arm,2005
4969.0,arm,2006
5496.0,arm,2007
5628.0,arm,2008
5247.0,arm,2009
5412.0,arm,2010
13030.0,aus,1950
13310.0,aus,1951
11630.0,aus,1952
12950.0,aus,1953
13880.0,aus,1954
14120.0,aus,1955
13580.0,aus,1956
13600.0,aus,1957
14410.0,aus,1958
14990.0,aus,1959
15210.0,aus,1960
14770.0,aus,1961
15490.0,aus,1962
16260.0,aus,1963
17140.0,aus,1964
17240.0,aus,1965
18030.0,aus,1966
18670.0,aus,1967
19500.0,aus,1968
20350.0,aus,1969
20660.0,aus,1970
20900.0,aus,1971
20850.0,aus,1972
21400.0,aus,1973
19210.0,aus,1974
19510.0,aus,1975
20120.0,aus,1976
20310.0,aus,1977
21060.0,aus,1978
21380.0,aus,1979
21900.0,aus,1980
22400.0,aus,1981
21780.0,aus,1982
22470.0,aus,1983
23250.0,aus,1984
24180.0,aus,1985
24550.0,aus,1986
25600.0,aus,1987
26110.0,aus,1988
26550.0,aus,1989
26180.0,aus,1990
26250.0,aus,1991
26980.0,aus,1992
27630.0,aus,1993
28620.0,aus,1994
29520.0,aus,1995
30430.0,aus,1996
31510.0,aus,1997
32770.0,aus,1998
33830.0,aus,1999
34090.0,aus,2000
34950.0,aus,2001
35820.0,aus,2002
36960.0,aus,2003
37650.0,aus,2004
38380.0,aus,2005
39280.0,aus,2006
40290.0,aus,2007
40390.0,aus,2008
40810.0,aus,2009
41110.0,aus,2010
6221.0,aut,1950
6627.0,aut,1951
6574.0,aut,1952
6752.0,aut,1953
7330.0,aut,1954
8086.0,aut,1955
8336.0,aut,1956
8858.0,aut,1957
9188.0,aut,1958
9445.0,aut,1959
10550.0,aut,1960
11050.0,aut,1961
11240.0,aut,1962
11620.0,aut,1963
12250.0,aut,1964
12550.0,aut,1965
13170.0,aut,1966
13470.0,aut,1967
13990.0,aut,1968
14750.0,aut,1969
15740.0,aut,1970
16530.0,aut,1971
17480.0,aut,1972
18320.0,aut,1973
18880.0,aut,1974
18870.0,aut,1975
19820.0,aut,1976
20900.0,aut,1977
20540.0,aut,1978
22210.0,aut,1979
22420.0,aut,1980
22440.0,aut,1981
22630.0,aut,1982
23220.0,aut,1983
23360.0,aut,1984
24170.0,aut,1985
24510.0,aut,1986
24980.0,aut,1987
25780.0,aut,1988
26730.0,aut,1989
27510.0,aut,1990
27960.0,aut,1991
28140.0,aut,1992
28250.0,aut,1993
28560.0,aut,1994
29360.0,aut,1995
29900.0,aut,1996
30610.0,aut,1997
31680.0,aut,1998
32660.0,aut,1999
33630.0,aut,2000
33840.0,aut,2001
34270.0,aut,2002
34560.0,aut,2003
35230.0,aut,2004
36150.0,aut,2005
37350.0,aut,2006
38760.0,aut,2007
39330.0,aut,2008
37630.0,aut,2009
38590.0,aut,2010
3119.0,aze,1993
2501.0,aze,1994
1812.0,aze,1995
1774.0,aze,1996
1846.0,aze,1997
2021.0,aze,1998
2362.0,aze,1999
2525.0,aze,2000
2772.0,aze,2001
3020.0,aze,2002
3379.0,aze,2003
3792.0,aze,2004
4659.0,aze,2005
5979.0,aze,2006
7342.0,aze,2007
8065.0,aze,2008
8831.0,aze,2009
9479.0,aze,2010
22880.0,bhs,1970
22750.0,bhs,1971
21470.0,bhs,1972
22550.0,bhs,1973
18520.0,bhs,1974
15470.0,bhs,1975
15680.0,bhs,1976
17280.0,bhs,1977
19030.0,bhs,1978
22000.0,bhs,1979
23420.0,bhs,1980
21390.0,bhs,1981
22500.0,bhs,1982
23250.0,bhs,1983
25520.0,bhs,1984
26610.0,bhs,1985
26640.0,bhs,1986
26880.0,bhs,1987
26880.0,bhs,1988
29070.0,bhs,1989
28060.0,bhs,1990
26550.0,bhs,1991
25320.0,bhs,1992
24480.0,bhs,1993
24830.0,bhs,1994
25760.0,bhs,1995
26780.0,bhs,1996
27910.0,bhs,1997
29630.0,bhs,1998
30340.0,bhs,1999
31350.0,bhs,2000
31680.0,bhs,2001
32080.0,bhs,2002
31410.0,bhs,2003
31410.0,bhs,2004
32370.0,bhs,2005
33200.0,bhs,2006
33320.0,bhs,2007
32270.0,bhs,2008
30210.0,bhs,2009
30110.0,bhs,2010
21830.0,bhr,1970
21750.0,bhr,1971
23580.0,bhr,1972
25860.0,bhr,1973
27010.0,bhr,1974
23070.0,bhr,1975
30200.0,bhr,1976
30380.0,bhr,1977
28530.0,bhr,1978
28930.0,bhr,1979
29890.0,bhr,1980
26290.0,bhr,1981
22860.0,bhr,1982
24180.0,bhr,1983
24570.0,bhr,1984
18480.0,bhr,1985
17310.0,bhr,1986
16740.0,bhr,1987
17850.0,bhr,1988
18270.0,bhr,1989
18160.0,bhr,1990
19020.0,bhr,1991
20070.0,bhr,1992
19780.0,bhr,1993
20200.0,bhr,1994
19350.0,bhr,1995
19600.0,bhr,1996
20010.0,bhr,1997
20790.0,bhr,1998
19730.0,bhr,1999
20790.0,bhr,2000
20820.0,bhr,2001
22000.0,bhr,2002
21770.0,bhr,2003
22020.0,bhr,2004
22010.0,bhr,2005
22840.0,bhr,2006
24000.0,bhr,2007
24560.0,bhr,2008
23150.0,bhr,2009
23100.0,bhr,2010
833.7,bgd,1959
853.6,bgd,1960
785.7,bgd,1961
816.9,bgd,1962
842.6,bgd,1963
798.8,bgd,1964
765.3,bgd,1965
761.3,bgd,1966
674.9,bgd,1967
693.2,bgd,1968
703.8,bgd,1969
744.5,bgd,1970
739.1,bgd,1971
648.5,bgd,1972
649.3,bgd,1973
675.3,bgd,1974
629.4,bgd,1975
657.5,bgd,1976
632.5,bgd,1977
671.0,bgd,1978
682.0,bgd,1979
679.2,bgd,1980
651.7,bgd,1981
645.1,bgd,1982
651.1,bgd,1983
677.5,bgd,1984
689.7,bgd,1985
696.8,bgd,1986
706.4,bgd,1987
713.2,bgd,1988
739.6,bgd,1989
761.1,bgd,1990
777.8,bgd,1991
795.7,bgd,1992
793.8,bgd,1993
829.2,bgd,1994
818.5,bgd,1995
801.0,bgd,1996
854.2,bgd,1997
881.9,bgd,1998
889.8,bgd,1999
907.5,bgd,2000
935.9,bgd,2001
1001.0,bgd,2002
1029.0,bgd,2003
1059.0,bgd,2004
1086.0,bgd,2005
1129.0,bgd,2006
1169.0,bgd,2007
1231.0,bgd,2008
1296.0,bgd,2009
1371.0,bgd,2010
16440.0,brb,1960
16630.0,brb,1961
17140.0,brb,1962
16860.0,brb,1963
16860.0,brb,1964
17570.0,brb,1965
18170.0,brb,1966
20220.0,brb,1967
21500.0,brb,1968
24360.0,brb,1969
27260.0,brb,1970
26610.0,brb,1971
26650.0,brb,1972
26550.0,brb,1973
24520.0,brb,1974
26360.0,brb,1975
24000.0,brb,1976
23510.0,brb,1977
23550.0,brb,1978
24380.0,brb,1979
24650.0,brb,1980
25130.0,brb,1981
22800.0,brb,1982
22150.0,brb,1983
22170.0,brb,1984
21980.0,brb,1985
23840.0,brb,1986
25290.0,brb,1987
25680.0,brb,1988
26850.0,brb,1989
26070.0,brb,1990
24660.0,brb,1991
22060.0,brb,1992
22590.0,brb,1993
22980.0,brb,1994
23640.0,brb,1995
23870.0,brb,1996
25870.0,brb,1997
27200.0,brb,1998
28230.0,brb,1999
28220.0,brb,2000
27130.0,brb,2001
26310.0,brb,2002
26350.0,brb,2003
28210.0,brb,2004
28580.0,brb,2005
28940.0,brb,2006
29960.0,brb,2007
30120.0,brb,2008
28010.0,brb,2009
28110.0,brb,2010
4707.0,blr,1994
4230.0,blr,1995
4333.0,blr,1996
4985.0,blr,1997
5279.0,blr,1998
5678.0,blr,1999
6153.0,blr,2000
6824.0,blr,2001
7281.0,blr,2002
7685.0,blr,2003
8216.0,blr,2004
9177.0,blr,2005
9796.0,blr,2006
10880.0,blr,2007
12070.0,blr,2008
12400.0,blr,2009
13500.0,blr,2010
7973.0,bel,1950
8188.0,bel,1951
8313.0,bel,1952
8486.0,bel,1953
8868.0,bel,1954
9163.0,bel,1955
9442.0,bel,1956
9559.0,bel,1957
9321.0,bel,1958
9616.0,bel,1959
10160.0,bel,1960
10660.0,bel,1961
11170.0,bel,1962
11600.0,bel,1963
12360.0,bel,1964
12640.0,bel,1965
12990.0,bel,1966
13380.0,bel,1967
13900.0,bel,1968
14790.0,bel,1969
15680.0,bel,1970
16170.0,bel,1971
16900.0,bel,1972
18100.0,bel,1973
18850.0,bel,1974
18350.0,bel,1975
19430.0,bel,1976
19610.0,bel,1977
20110.0,bel,1978
20700.0,bel,1979
21590.0,bel,1980
21110.0,bel,1981
21200.0,bel,1982
21020.0,bel,1983
21650.0,bel,1984
21890.0,bel,1985
22420.0,bel,1986
22890.0,bel,1987
24230.0,bel,1988
25120.0,bel,1989
26050.0,bel,1990
26390.0,bel,1991
26710.0,bel,1992
26320.0,bel,1993
27160.0,bel,1994
27820.0,bel,1995
28130.0,bel,1996
29150.0,bel,1997
29660.0,bel,1998
30640.0,bel,1999
31680.0,bel,2000
31760.0,bel,2001
32000.0,bel,2002
32190.0,bel,2003
33280.0,bel,2004
33890.0,bel,2005
34820.0,bel,2006
35870.0,bel,2007
36170.0,bel,2008
34830.0,bel,2009
35560.0,bel,2010
4027.0,blz,1970
4206.0,blz,1971
4295.0,blz,1972
4185.0,blz,1973
4506.0,blz,1974
4386.0,blz,1975
4333.0,blz,1976
4513.0,blz,1977
4443.0,blz,1978
4996.0,blz,1979
5402.0,blz,1980
5124.0,blz,1981
4906.0,blz,1982
4673.0,blz,1983
4641.0,blz,1984
4422.0,blz,1985
4840.0,blz,1986
5137.0,blz,1987
5425.0,blz,1988
6030.0,blz,1989
6520.0,blz,1990
6455.0,blz,1991
6496.0,blz,1992
7041.0,blz,1993
7163.0,blz,1994
7444.0,blz,1995
7318.0,blz,1996
7231.0,blz,1997
7122.0,blz,1998
7236.0,blz,1999
7754.0,blz,2000
7910.0,blz,2001
8481.0,blz,2002
8697.0,blz,2003
9056.0,blz,2004
8981.0,blz,2005
9485.0,blz,2006
9201.0,blz,2007
9262.0,blz,2008
9157.0,blz,2009
9056.0,blz,2010
715.4,ben,1959
744.9,ben,1960
738.0,ben,1961
694.1,ben,1962
715.4,ben,1963
729.5,ben,1964
750.6,ben,1965
758.2,ben,1966
787.7,ben,1967
807.7,ben,1968
832.0,ben,1969
827.2,ben,1970
825.3,ben,1971
887.3,ben,1972
895.2,ben,1973
933.9,ben,1974
859.6,ben,1975
809.8,ben,1976
817.7,ben,1977
781.4,ben,1978
849.5,ben,1979
897.7,ben,1980
912.8,ben,1981
1124.0,ben,1982
1025.0,ben,1983
1028.0,ben,1984
1069.0,ben,1985
1115.0,ben,1986
1052.0,ben,1987
1040.0,ben,1988
948.1,ben,1989
1018.0,ben,1990
1031.0,ben,1991
1021.0,ben,1992
1025.0,ben,1993
950.1,ben,1994
1035.0,ben,1995
1037.0,ben,1996
1065.0,ben,1997
1065.0,ben,1998
1087.0,ben,1999
1098.0,ben,2000
1136.0,ben,2001
1145.0,ben,2002
1164.0,ben,2003
1164.0,ben,2004
1136.0,ben,2005
1161.0,ben,2006
1169.0,ben,2007
1183.0,ben,2008
1187.0,ben,2009
1177.0,ben,2010
24700.0,bmu,1970
25200.0,bmu,1971
25560.0,bmu,1972
25850.0,bmu,1973
26180.0,bmu,1974
25850.0,bmu,1975
27470.0,bmu,1976
27750.0,bmu,1977
28370.0,bmu,1978
30380.0,bmu,1979
31490.0,bmu,1980
29940.0,bmu,1981
30970.0,bmu,1982
31110.0,bmu,1983
31080.0,bmu,1984
32240.0,bmu,1985
32980.0,bmu,1986
34290.0,bmu,1987
34860.0,bmu,1988
34570.0,bmu,1989
33420.0,bmu,1990
32870.0,bmu,1991
31970.0,bmu,1992
32790.0,bmu,1993
33090.0,bmu,1994
34020.0,bmu,1995
34990.0,bmu,1996
35800.0,bmu,1997
37650.0,bmu,1998
37260.0,bmu,1999
34990.0,bmu,2000
34530.0,bmu,2001
41900.0,bmu,2002
42870.0,bmu,2003
44220.0,bmu,2004
46120.0,bmu,2005
48560.0,bmu,2006
50300.0,bmu,2007
49780.0,bmu,2008
45460.0,bmu,2009
45860.0,bmu,2010
1053.0,btn,1970
1041.0,btn,1971
1014.0,btn,1972
991.6,btn,1973
1004.0,btn,1974
935.4,btn,1975
986.2,btn,1976
1022.0,btn,1977
1054.0,btn,1978
1084.0,btn,1979
1068.0,btn,1980
1157.0,btn,1981
1226.0,btn,1982
1312.0,btn,1983
1281.0,btn,1984
1248.0,btn,1985
1327.0,btn,1986
1508.0,btn,1987
1321.0,btn,1988
1509.0,btn,1989
1505.0,btn,1990
1443.0,btn,1991
1406.0,btn,1992
1764.0,btn,1993
1662.0,btn,1994
1894.0,btn,1995
1938.0,btn,1996
2140.0,btn,1997
2141.0,btn,1998
2340.0,btn,1999
2328.0,btn,2000
2806.0,btn,2001
2988.0,btn,2002
3138.0,btn,2003
3109.0,btn,2004
3038.0,btn,2005
3305.0,btn,2006
3497.0,btn,2007
3408.0,btn,2008
3839.0,btn,2009
3948.0,btn,2010
3129.0,bol,1950
3297.0,bol,1951
3254.0,bol,1952
2737.0,bol,1953
2718.0,bol,1954
2846.0,bol,1955
2671.0,bol,1956
2636.0,bol,1957
2562.0,bol,1958
2597.0,bol,1959
2614.0,bol,1960
2642.0,bol,1961
2656.0,bol,1962
2802.0,bol,1963
2859.0,bol,1964
2964.0,bol,1965
3099.0,bol,1966
3286.0,bol,1967
2760.0,bol,1968
2784.0,bol,1969
2690.0,bol,1970
2740.0,bol,1971
2834.0,bol,1972
2954.0,bol,1973
2994.0,bol,1974
3105.0,bol,1975
3255.0,bol,1976
3340.0,bol,1977
3285.0,bol,1978
3248.0,bol,1979
3177.0,bol,1980
3139.0,bol,1981
2981.0,bol,1982
2769.0,bol,1983
2713.0,bol,1984
2648.0,bol,1985
2552.0,bol,1986
2590.0,bol,1987
2618.0,bol,1988
2676.0,bol,1989
2724.0,bol,1990
2776.0,bol,1991
2755.0,bol,1992
2810.0,bol,1993
2893.0,bol,1994
2954.0,bol,1995
3000.0,bol,1996
3049.0,bol,1997
3099.0,bol,1998
3087.0,bol,1999
3117.0,bol,2000
3134.0,bol,2001
3128.0,bol,2002
3171.0,bol,2003
3258.0,bol,2004
3313.0,bol,2005
3419.0,bol,2006
3499.0,bol,2007
3613.0,bol,2008
3661.0,bol,2009
3743.0,bol,2010
1152.0,bih,1990
1032.0,bih,1991
1024.0,bih,1992
1065.0,bih,1993
1212.0,bih,1994
1610.0,bih,1995
2854.0,bih,1996
3653.0,bih,1997
3988.0,bih,1998
4297.0,bih,1999
4403.0,bih,2000
4478.0,bih,2001
4593.0,bih,2002
4666.0,bih,2003
4626.0,bih,2004
4828.0,bih,2005
5223.0,bih,2006
5665.0,bih,2007
6017.0,bih,2008
5882.0,bih,2009
5942.0,bih,2010
681.8,bwa,1960
729.5,bwa,1961
781.0,bwa,1962
803.2,bwa,1963
848.9,bwa,1964
733.6,bwa,1965
857.7,bwa,1966
1025.0,bwa,1967
1210.0,bwa,1968
1082.0,bwa,1969
1390.0,bwa,1970
1779.0,bwa,1971
2214.0,bwa,1972
2530.0,bwa,1973
2505.0,bwa,1974
2508.0,bwa,1975
2521.0,bwa,1976
2633.0,bwa,1977
2932.0,bwa,1978
3202.0,bwa,1979
3408.0,bwa,1980
3412.0,bwa,1981
3488.0,bwa,1982
3790.0,bwa,1983
4097.0,bwa,1984
4244.0,bwa,1985
4434.0,bwa,1986
4481.0,bwa,1987
5324.0,bwa,1988
6401.0,bwa,1989
6638.0,bwa,1990
6638.0,bwa,1991
6517.0,bwa,1992
6445.0,bwa,1993
6321.0,bwa,1994
6670.0,bwa,1995
6731.0,bwa,1996
6965.0,bwa,1997
7225.0,bwa,1998
7924.0,bwa,1999
8701.0,bwa,2000
8366.0,bwa,2001
8947.0,bwa,2002
9062.0,bwa,2003
9850.0,bwa,2004
9441.0,bwa,2005
9806.0,bwa,2006
10490.0,bwa,2007
10850.0,bwa,2008
9276.0,bwa,2009
9673.0,bwa,2010
1699.0,bra,1950
1738.0,bra,1951
1854.0,bra,1952
1867.0,bra,1953
1977.0,bra,1954
2041.0,bra,1955
2043.0,bra,1956
2196.0,bra,1957
2264.0,bra,1958
2375.0,bra,1959
2469.0,bra,1960
2739.0,bra,1961
2801.0,bra,1962
2884.0,bra,1963
2927.0,bra,1964
3056.0,bra,1965
3086.0,bra,1966
3160.0,bra,1967
3426.0,bra,1968
3566.0,bra,1969
3845.0,bra,1970
4207.0,bra,1971
4597.0,bra,1972
5102.0,bra,1973
5419.0,bra,1974
5519.0,bra,1975
6007.0,bra,1976
6087.0,bra,1977
6237.0,bra,1978
6537.0,bra,1979
6943.0,bra,1980
6372.0,bra,1981
6293.0,bra,1982
5911.0,bra,1983
5998.0,bra,1984
6140.0,bra,1985
6750.0,bra,1986
6758.0,bra,1987
6543.0,bra,1988
6486.0,bra,1989
6163.0,bra,1990
6117.0,bra,1991
6011.0,bra,1992
6122.0,bra,1993
6377.0,bra,1994
6649.0,bra,1995
6694.0,bra,1996
6824.0,bra,1997
6714.0,bra,1998
6627.0,bra,1999
6834.0,bra,2000
6818.0,bra,2001
6855.0,bra,2002
6817.0,bra,2003
7118.0,bra,2004
7234.0,bra,2005
7432.0,bra,2006
7789.0,bra,2007
8086.0,bra,2008
7976.0,bra,2009
8325.0,bra,2010
51630.0,brn,1970
52520.0,brn,1971
56450.0,brn,1972
60730.0,brn,1973
62120.0,brn,1974
64730.0,brn,1975
74930.0,brn,1976
80050.0,brn,1977
82720.0,brn,1978
98020.0,brn,1979
87220.0,brn,1980
67950.0,brn,1981
69360.0,brn,1982
67520.0,brn,1983
65630.0,brn,1984
58940.0,brn,1985
52460.0,brn,1986
49960.0,brn,1987
50690.0,brn,1988
48870.0,brn,1989
46910.0,brn,1990
47100.0,brn,1991
48270.0,brn,1992
49390.0,brn,1993
48790.0,brn,1994
51090.0,brn,1995
53900.0,brn,1996
49390.0,brn,1997
44420.0,brn,1998
46210.0,brn,1999
48110.0,brn,2000
48800.0,brn,2001
50160.0,brn,2002
50680.0,brn,2003
50710.0,brn,2004
48780.0,brn,2005
50450.0,brn,2006
47850.0,brn,2007
44350.0,brn,2008
43350.0,brn,2009
44540.0,brn,2010
2784.0,bgr,1970
2960.0,bgr,1971
3172.0,bgr,1972
3414.0,bgr,1973
3647.0,bgr,1974
3947.0,bgr,1975
4193.0,bgr,1976
4431.0,bgr,1977
4667.0,bgr,1978
5002.0,bgr,1979
5233.0,bgr,1980
5448.0,bgr,1981
5594.0,bgr,1982
5786.0,bgr,1983
5951.0,bgr,1984
6109.0,bgr,1985
6292.0,bgr,1986
6722.0,bgr,1987
7386.0,bgr,1988
7159.0,bgr,1989
6698.0,bgr,1990
7366.0,bgr,1991
6828.0,bgr,1992
6440.0,bgr,1993
6462.0,bgr,1994
6691.0,bgr,1995
6138.0,bgr,1996
5945.0,bgr,1997
6115.0,bgr,1998
6212.0,bgr,1999
6592.0,bgr,2000
6942.0,bgr,2001
7315.0,bgr,2002
7791.0,bgr,2003
8364.0,bgr,2004
8904.0,bgr,2005
9503.0,bgr,2006
10160.0,bgr,2007
10780.0,bgr,2008
10400.0,bgr,2009
10590.0,bgr,2010
525.2,bfa,1959
518.3,bfa,1960
451.1,bfa,1961
471.6,bfa,1962
460.7,bfa,1963
464.2,bfa,1964
460.1,bfa,1965
455.1,bfa,1966
487.6,bfa,1967
504.2,bfa,1968
508.2,bfa,1969
510.5,bfa,1970
500.4,bfa,1971
607.2,bfa,1972
570.2,bfa,1973
593.5,bfa,1974
616.8,bfa,1975
591.7,bfa,1976
625.9,bfa,1977
678.1,bfa,1978
674.7,bfa,1979
652.3,bfa,1980
676.0,bfa,1981
676.4,bfa,1982
624.4,bfa,1983
591.7,bfa,1984
634.7,bfa,1985
659.8,bfa,1986
641.4,bfa,1987
657.1,bfa,1988
650.2,bfa,1989
628.2,bfa,1990
664.7,bfa,1991
641.3,bfa,1992
642.0,bfa,1993
639.7,bfa,1994
648.0,bfa,1995
692.8,bfa,1996
718.9,bfa,1997
747.0,bfa,1998
764.9,bfa,1999
753.1,bfa,2000
770.4,bfa,2001
768.4,bfa,2002
797.0,bfa,2003
807.6,bfa,2004
848.9,bfa,2005
876.5,bfa,2006
884.0,bfa,2007
911.3,bfa,2008
896.6,bfa,2009
929.7,bfa,2010
347.7,bdi,1960
291.4,bdi,1961
312.0,bdi,1962
333.2,bdi,1963
327.4,bdi,1964
344.0,bdi,1965
343.9,bdi,1966
379.1,bdi,1967
375.2,bdi,1968
357.2,bdi,1969
441.1,bdi,1970
437.6,bdi,1971
437.6,bdi,1972
460.2,bdi,1973
438.7,bdi,1974
454.3,bdi,1975
487.1,bdi,1976
529.1,bdi,1977
534.3,bdi,1978
514.1,bdi,1979
495.1,bdi,1980
508.9,bdi,1981
518.1,bdi,1982
524.0,bdi,1983
505.3,bdi,1984
546.7,bdi,1985
546.7,bdi,1986
562.5,bdi,1987
567.7,bdi,1988
571.3,bdi,1989
590.8,bdi,1990
604.3,bdi,1991
600.4,bdi,1992
581.8,bdi,1993
535.8,bdi,1994
459.9,bdi,1995
421.7,bdi,1996
403.0,bdi,1997
418.0,bdi,1998
399.3,bdi,1999
389.4,bdi,2000
384.2,bdi,2001
396.2,bdi,2002
377.9,bdi,2003
378.7,bdi,2004
372.6,bdi,2005
375.6,bdi,2006
393.6,bdi,2007
398.4,bdi,2008
396.1,bdi,2009
395.9,bdi,2010
1045.0,khm,1970
993.4,khm,1971
931.3,khm,1972
746.5,khm,1973
