geo,epidemic_deaths_annual_number,time
afg,0,1970
afg,0,1971
afg,0,1972
afg,0,1974
afg,0,1975
afg,0,1976
afg,0,1977
afg,0,1978
afg,0,1979
afg,0,1980
afg,0,1981
afg,0,1982
afg,0,1983
afg,0,1984
afg,0,1985
afg,0,1986
afg,0,1987
afg,0,1988
afg,0,1989
afg,0,1990
afg,0,1991
afg,0,1992
afg,0,1993
afg,0,1994
afg,0,1995
afg,0,1996
afg,0,1997
afg,185,1998
afg,135,1999
afg,557,2000
afg,154,2001
afg,2797,2002
afg,0,2003
afg,0,2004
afg,0,2005
afg,0,2006
afg,0,2007
afg,17,2008
alb,0,1970
alb,0,1971
alb,0,1972
alb,0,1974
alb,0,1975
alb,0,1976
alb,0,1977
alb,0,1978
alb,0,1979
alb,0,1980
alb,0,1981
alb,0,1982
alb,0,1983
alb,0,1984
alb,0,1985
alb,0,1986
alb,0,1987
alb,0,1988
alb,0,1989
alb,0,1990
alb,0,1991
alb,0,1992
alb,0,1993
alb,0,1994
alb,0,1995
alb,7,1996
alb,0,1997
alb,0,1998
alb,0,1999
alb,0,2000
alb,0,2001
alb,0,2002
alb,0,2003
alb,0,2004
alb,0,2005
alb,0,2006
alb,0,2007
alb,0,2008
dza,0,1970
dza,0,1971
dza,0,1972
dza,0,1974
dza,0,1975
dza,0,1976
dza,0,1977
dza,0,1978
dza,0,1979
dza,0,1980
dza,0,1981
dza,0,1982
dza,0,1983
dza,0,1984
dza,0,1985
dza,0,1986
dza,0,1987
dza,0,1988
dza,0,1989
dza,0,1990
dza,0,1991
dza,0,1992
dza,0,1993
dza,0,1994
dza,0,1995
dza,0,1996
dza,1,1997
dza,0,1998
dza,0,1999
dza,0,2000
dza,0,2001
dza,0,2002
dza,0,2003
dza,0,2004
dza,0,2005
dza,0,2006
dza,0,2007
dza,0,2008
ago,0,1970
ago,0,1971
ago,0,1972
ago,0,1974
ago,0,1975
ago,0,1976
ago,0,1977
ago,0,1978
ago,0,1979
ago,0,1980
ago,0,1981
ago,0,1982
ago,0,1983
ago,0,1984
ago,0,1985
ago,0,1986
ago,59,1987
ago,0,1988
ago,766,1989
ago,0,1990
ago,0,1991
ago,0,1992
ago,0,1993
ago,0,1994
ago,0,1995
ago,0,1996
ago,0,1997
ago,115,1998
ago,188,1999
ago,18,2000
ago,39,2001
ago,0,2002
ago,0,2003
ago,329,2004
ago,0,2005
ago,2422,2006
ago,515,2007
ago,229,2008
arg,0,1970
arg,0,1971
arg,0,1972
arg,0,1974
arg,0,1975
arg,0,1976
arg,0,1977
arg,0,1978
arg,0,1979
arg,0,1980
arg,0,1981
arg,0,1982
arg,0,1983
arg,0,1984
arg,0,1985
arg,0,1986
arg,0,1987
arg,0,1988
arg,0,1989
arg,0,1990
arg,0,1991
arg,67,1992
arg,0,1993
arg,0,1994
arg,0,1995
arg,0,1996
arg,0,1997
arg,0,1998
arg,0,1999
arg,0,2000
arg,0,2001
arg,0,2002
arg,0,2003
arg,0,2004
arg,0,2005
arg,0,2006
arg,0,2007
arg,0,2008
aus,0,1970
aus,0,1971
aus,0,1972
aus,0,1974
aus,0,1975
aus,0,1976
aus,0,1977
aus,0,1978
aus,0,1979
aus,0,1980
aus,0,1981
aus,0,1982
aus,0,1983
aus,0,1984
aus,0,1985
aus,0,1986
aus,0,1987
aus,0,1988
aus,0,1989
aus,0,1990
aus,0,1991
aus,0,1992
aus,0,1993
aus,0,1994
aus,0,1995
aus,0,1996
