geo,sex_ratio_15_24_years,time
afg,108.8,1950
afg,109.3,1955
afg,109.6,1960
afg,109.7,1965
afg,109.9,1970
afg,109.7,1975
afg,109.4,1980
afg,109.1,1985
afg,108.9,1990
afg,108.7,1995
afg,108.6,2000
afg,108.5,2005
afg,108.3,2010
afg,108.1,2015
afg,108.0,2020
afg,108.0,2025
afg,107.9,2030
afg,107.9,2035
afg,107.8,2040
afg,107.7,2045
afg,107.5,2050
alb,101.4,1950
alb,102.6,1955
alb,103.7,1960
alb,103.3,1965
alb,102.1,1970
alb,102.8,1975
alb,112.5,1980
alb,110.8,1985
alb,106.2,1990
alb,98.63,1995
alb,94.12,2000
alb,99.99,2005
alb,105.4,2010
alb,106.5,2015
alb,106.3,2020
alb,106.6,2025
alb,106.8,2030
alb,106.9,2035
alb,107.0,2040
alb,107.0,2045
alb,106.9,2050
dza,102.5,1950
dza,99.63,1955
dza,97.21,1960
dza,98.99,1965
dza,97.83,1970
dza,102.0,1975
dza,104.0,1980
dza,103.7,1985
dza,103.5,1990
dza,103.7,1995
dza,103.8,2000
dza,104.0,2005
dza,104.1,2010
dza,104.0,2015
dza,104.1,2020
dza,104.1,2025
dza,104.1,2030
dza,104.1,2035
dza,104.2,2040
dza,104.4,2045
dza,104.6,2050
ago,98.56,1950
ago,98.58,1955
ago,98.45,1960
ago,98.44,1965
ago,97.78,1970
ago,97.42,1975
ago,97.83,1980
ago,98.17,1985
ago,98.47,1990
ago,98.71,1995
ago,98.73,2000
ago,98.59,2005
ago,98.46,2010
ago,98.34,2015
ago,98.18,2020
ago,98.01,2025
ago,98.05,2030
ago,98.21,2035
ago,98.38,2040
ago,98.55,2045
ago,98.73,2050
arg,103.3,1950
arg,101.1,1955
arg,101.4,1960
arg,102.7,1965
arg,102.8,1970
arg,102.3,1975
arg,102.2,1980
arg,102.3,1985
arg,102.4,1990
arg,102.5,1995
arg,102.5,2000
arg,102.7,2005
arg,102.9,2010
arg,103.0,2015
arg,103.1,2020
arg,103.2,2025
arg,103.3,2030
arg,103.4,2035
arg,103.4,2040
arg,103.5,2045
arg,103.5,2050
arm,102.7,1950
arm,98.81,1955
arm,93.38,1960
arm,92.3,1965
arm,100.6,1970
arm,100.6,1975
arm,100.8,1980
arm,101.7,1985
arm,102.9,1990
arm,95.01,1995
arm,94.15,2000
arm,97.9,2005
arm,101.8,2010
arm,108.1,2015
arm,114.2,2020
arm,115.2,2025
arm,114.5,2030
arm,113.4,2035
arm,112.1,2040
arm,110.8,2045
arm,109.6,2050
abw,86.89,1950
abw,90.57,1955
abw,94.97,1960
abw,91.66,1965
abw,95.12,1970
abw,100.3,1975
abw,104.1,1980
abw,102.6,1985
abw,106.2,1990
abw,101.5,1995
abw,96.92,2000
abw,98.95,2005
abw,100.6,2010
abw,101.3,2015
abw,101.9,2020
abw,101.4,2025
abw,103.2,2030
abw,104.3,2035
abw,104.5,2040
abw,104.6,2045
abw,104.7,2050
aus,105.3,1950
aus,106.8,1955
aus,105.8,1960
aus,105.5,1965
aus,105.4,1970
aus,104.1,1975
aus,103.5,1980
aus,104.1,1985
aus,104.0,1990
aus,103.8,1995
aus,103.5,2000
aus,104.3,2005
aus,104.9,2010
aus,105.2,2015
aus,105.3,2020
aus,105.3,2025
aus,105.3,2030
aus,105.3,2035
aus,105.3,2040
aus,105.4,2045
aus,105.4,2050
aut,100.1,1950
aut,103.9,1955
aut,104.0,1960
aut,104.2,1965
aut,103.8,1970
aut,102.8,1975
aut,101.9,1980
aut,103.2,1985
aut,104.0,1990
aut,103.2,1995
aut,103.3,2000
aut,103.8,2005
aut,104.2,2010
aut,104.7,2015
aut,105.0,2020
aut,105.0,2025
aut,105.1,2030
aut,105.1,2035
aut,105.1,2040
aut,105.1,2045
aut,105.1,2050
aze,106.0,1950
aze,99.4,1955
aze,93.05,1960
aze,94.39,1965
aze,102.8,1970
aze,103.6,1975
aze,102.5,1980
aze,99.95,1985
aze,101.0,1990
aze,102.1,1995
aze,98.82,2000
aze,102.7,2005
aze,103.8,2010
aze,105.2,2015
aze,111.2,2020
aze,114.9,2025
aze,114.2,2030
aze,113.1,2035
aze,111.9,2040
aze,110.6,2045
aze,109.2,2050
bhs,80.23,1950
bhs,81.29,1955
bhs,88.91,1960
bhs,95.38,1965
bhs,95.28,1970
bhs,96.07,1975
bhs,101.4,1980
bhs,103.7,1985
bhs,103.4,1990
bhs,102.0,1995
bhs,100.5,2000
bhs,99.68,2005
bhs,99.8,2010
bhs,100.0,2015
bhs,99.99,2020
bhs,100.2,2025
bhs,100.5,2030
bhs,100.6,2035
bhs,100.6,2040
bhs,100.6,2045
bhs,100.6,2050
bhr,126.6,1950
bhr,126.7,1955
bhr,127.4,1960
bhr,92.75,1965
bhr,119.2,1970
bhr,142.1,1975
bhr,126.8,1980
bhr,116.9,1985
bhr,110.9,1990
bhr,119.1,1995
bhr,116.4,2000
bhr,117.4,2005
bhr,113.9,2010
bhr,108.6,2015
bhr,106.8,2020
bhr,108.1,2025
bhr,109.3,2030
bhr,109.4,2035
bhr,109.4,2040
bhr,109.4,2045
bhr,109.3,2050
bgd,117.9,1950
bgd,115.0,1955
bgd,107.9,1960
bgd,103.4,1965
bgd,106.6,1970
bgd,107.2,1975
bgd,105.9,1980
bgd,104.4,1985
bgd,103.1,1990
bgd,102.5,1995
bgd,102.3,2000
bgd,103.2,2005
bgd,103.7,2010
bgd,104.0,2015
bgd,104.1,2020
bgd,104.1,2025
bgd,103.9,2030
bgd,103.7,2035
bgd,103.7,2040
bgd,103.7,2045
bgd,103.8,2050
brb,94.74,1950
brb,88.78,1955
brb,82.23,1960
brb,94.58,1965
brb,101.2,1970
brb,96.52,1975
brb,100.2,1980
brb,101.9,1985
brb,101.6,1990
brb,101.9,1995
brb,102.7,2000
brb,102.7,2005
brb,102.9,2010
brb,103.0,2015
brb,103.1,2020
brb,103.3,2025
brb,103.5,2030
brb,103.5,2035
brb,103.5,2040
brb,103.5,2045
brb,103.5,2050
blr,89.93,1950
blr,94.07,1955
blr,95.13,1960
blr,100.0,1965
blr,103.6,1970
blr,104.2,1975
blr,104.0,1980
blr,101.0,1985
blr,99.5,1990
blr,101.6,1995
blr,102.8,2000
blr,103.7,2005
blr,104.7,2010
blr,105.3,2015
blr,105.5,2020
blr,105.7,2025
blr,105.7,2030
blr,105.7,2035
blr,105.8,2040
blr,105.9,2045
blr,106.0,2050
bel,102.0,1950
bel,100.9,1955
bel,101.4,1960
bel,104.4,1965
bel,104.1,1970
bel,104.6,1975
bel,104.3,1980
bel,104.2,1985
bel,104.3,1990
bel,104.0,1995
bel,103.7,2000
bel,103.2,2005
bel,103.2,2010
bel,103.3,2015
bel,103.4,2020
bel,103.7,2025
bel,103.8,2030
bel,103.9,2035
bel,103.9,2040
bel,103.9,2045
bel,103.9,2050
blz,93.25,1950
blz,92.52,1955
blz,95.18,1960
blz,99.73,1965
blz,102.4,1970
blz,101.6,1975
blz,103.4,1980
blz,101.6,1985
blz,102.3,1990
blz,101.9,1995
blz,102.6,2000
blz,103.1,2005
blz,102.7,2010
blz,102.4,2015
blz,102.3,2020
blz,102.4,2025
blz,102.4,2030
blz,102.5,2035
blz,102.7,2040
blz,102.8,2045
blz,102.8,2050
ben,88.31,1950
ben,86.97,1955
ben,87.22,1960
ben,86.83,1965
ben,93.71,1970
ben,100.8,1975
ben,101.2,1980
ben,101.5,1985
ben,101.5,1990
ben,102.9,1995
ben,102.3,2000
ben,103.5,2005
ben,103.7,2010
ben,103.4,2015
ben,103.4,2020
ben,103.5,2025
ben,103.5,2030
ben,103.4,2035
ben,103.4,2040
ben,103.3,2045
ben,103.3,2050
btn,106.6,1950
btn,105.7,1955
btn,105.8,1960
btn,105.7,1965
btn,104.6,1970
btn,107.9,1975
btn,107.2,1980
btn,103.8,1985
btn,102.8,1990
btn,101.8,1995
btn,101.5,2000
btn,113.9,2005
btn,102.4,2010
btn,103.3,2015
btn,101.9,2020
btn,101.9,2025
btn,101.9,2030
btn,101.9,2035
btn,102.0,2040
btn,102.1,2045
btn,102.3,2050
bol,100.8,1950
bol,100.1,1955
bol,99.89,1960
bol,99.36,1965
bol,98.14,1970
bol,97.44,1975
bol,97.9,1980
bol,98.51,1985
bol,99.32,1990
bol,100.3,1995
bol,101.5,2000
bol,102.5,2005
bol,103.1,2010
bol,103.5,2015
bol,103.5,2020
bol,103.5,2025
bol,103.7,2030
bol,103.9,2035
bol,104.0,2040
bol,104.2,2045
bol,104.4,2050
bih,98.81,1950
bih,99.69,1955
bih,99.53,1960
bih,101.6,1965
bih,103.3,1970
bih,103.4,1975
bih,103.5,1980
bih,104.0,1985
bih,104.1,1990
bih,98.1,1995
bih,99.88,2000
bih,101.8,2005
bih,104.2,2010
bih,106.7,2015
bih,106.6,2020
bih,106.6,2025
bih,106.6,2030
bih,106.6,2035
bih,106.6,2040
bih,106.6,2045
bih,106.7,2050
bwa,99.46,1950
bwa,99.13,1955
bwa,96.36,1960
bwa,96.89,1965
bwa,98.37,1970
bwa,99.1,1975
bwa,99.92,1980
bwa,99.45,1985
bwa,100.0,1990
bwa,100.6,1995
bwa,101.1,2000
bwa,101.2,2005
bwa,101.2,2010
bwa,101.2,2015
bwa,101.3,2020
bwa,101.3,2025
bwa,101.4,2030
bwa,101.5,2035
bwa,101.6,2040
bwa,101.7,2045
bwa,101.8,2050
bra,100.6,1950
bra,100.8,1955
bra,100.6,1960
bra,100.6,1965
bra,100.6,1970
bra,100.6,1975
bra,100.7,1980
bra,100.5,1985
bra,99.94,1990
bra,100.1,1995
bra,101.4,2000
bra,102.3,2005
bra,102.5,2010
bra,102.8,2015
bra,103.2,2020
bra,103.4,2025
bra,103.5,2030
bra,103.6,2035
bra,103.8,2040
bra,103.9,2045
bra,104.0,2050
brn,108.0,1950
brn,107.8,1955
brn,106.9,1960
brn,109.1,1965
brn,105.7,1970
brn,105.2,1975
brn,114.9,1980
brn,106.3,1985
brn,105.9,1990
brn,103.7,1995
brn,101.9,2000
brn,104.3,2005
brn,106.0,2010
brn,105.2,2015
brn,105.3,2020
brn,105.5,2025
brn,105.5,2030
brn,105.5,2035
brn,105.6,2040
brn,105.6,2045
brn,105.6,2050
bgr,102.4,1950
bgr,101.1,1955
bgr,101.9,1960
bgr,103.2,1965
bgr,103.6,1970
bgr,103.3,1975
bgr,105.1,1980
bgr,105.0,1985
bgr,104.3,1990
bgr,104.6,1995
bgr,105.6,2000
bgr,105.3,2005
bgr,105.1,2010
bgr,105.6,2015
bgr,105.8,2020
bgr,105.9,2025
bgr,105.9,2030
bgr,106.1,2035
bgr,106.2,2040
bgr,106.4,2045
bgr,106.5,2050
bfa,107.5,1950
bfa,105.5,1955
bfa,104.5,1960
bfa,103.4,1965
bfa,101.8,1970
bfa,100.5,1975
bfa,100.4,1980
bfa,100.7,1985
bfa,101.6,1990
bfa,102.1,1995
bfa,102.3,2000
bfa,103.3,2005
bfa,102.8,2010
bfa,102.7,2015
bfa,102.8,2020
bfa,102.9,2025
bfa,102.9,2030
bfa,102.9,2035
bfa,102.8,2040
bfa,102.9,2045
bfa,103.0,2050
bdi,93.62,1950
bdi,93.73,1955
bdi,94.15,1960
bdi,94.75,1965
bdi,96.74,1970
bdi,97.39,1975
bdi,98.49,1980
bdi,98.98,1985
bdi,99.3,1990
bdi,98.67,1995
bdi,98.23,2000
bdi,99.2,2005
bdi,99.19,2010
bdi,99.28,2015
bdi,99.38,2020
bdi,99.38,2025
bdi,99.3,2030
bdi,99.2,2035
bdi,99.15,2040
bdi,99.19,2045
bdi,99.3,2050
khm,102.0,1950
khm,102.0,1955
khm,101.9,1960
khm,101.8,1965
khm,101.8,1970
khm,101.9,1975
khm,86.95,1980
khm,91.32,1985
khm,96.61,1990
khm,99.59,1995
khm,100.7,2000
khm,102.1,2005
khm,102.9,2010
khm,103.4,2015
khm,103.8,2020
khm,103.8,2025
khm,103.5,2030
khm,103.4,2035
khm,103.3,2040
khm,103.4,2045
khm,103.5,2050
cmr,98.27,1950
cmr,98.35,1955
cmr,98.41,1960
cmr,98.54,1965
cmr,99.16,1970
cmr,99.77,1975
cmr,100.1,1980
cmr,100.3,1985
cmr,100.5,1990
cmr,100.6,1995
cmr,100.7,2000
cmr,100.8,2005
cmr,100.9,2010
cmr,100.9,2015
cmr,100.8,2020
cmr,100.7,2025
cmr,100.5,2030
cmr,100.3,2035
cmr,100.2,2040
cmr,100.2,2045
cmr,100.2,2050
can,100.4,1950
can,101.4,1955
can,103.2,1960
can,101.1,1965
can,101.9,1970
can,102.7,1975
can,103.1,1980
can,104.8,1985
can,104.5,1990
can,104.7,1995
can,105.1,2000
can,104.5,2005
can,104.4,2010
can,104.8,2015
can,104.8,2020
can,104.9,2025
can,105.1,2030
can,105.3,2035
can,105.3,2040
can,105.3,2045
can,105.3,2050
cpv,87.81,1950
cpv,86.92,1955
cpv,84.2,1960
cpv,91.93,1965
cpv,100.7,1970
cpv,93.22,1975
cpv,87.23,1980
cpv,96.54,1985
cpv,97.47,1990
cpv,94.86,1995
cpv,96.0,2000
cpv,98.68,2005
cpv,98.76,2010
cpv,98.88,2015
cpv,99.06,2020
cpv,99.28,2025
cpv,99.54,2030
cpv,99.89,2035
cpv,100.3,2040
cpv,100.5,2045
cpv,100.7,2050
caf,98.79,1950
caf,98.68,1955
caf,98.72,1960
caf,98.75,1965
caf,98.27,1970
caf,97.99,1975
caf,98.03,1980
caf,97.92,1985
caf,98.11,1990
caf,98.0,1995
caf,98.03,2000
caf,98.16,2005
caf,98.11,2010
caf,98.04,2015
caf,97.92,2020
caf,97.81,2025
caf,97.8,2030
caf,97.81,2035
caf,97.85,2040
caf,97.98,2045
caf,98.18,2050
tcd,97.74,1950
tcd,99.78,1955
tcd,101.9,1960
tcd,102.1,1965
tcd,99.27,1970
tcd,97.43,1975
tcd,97.84,1980
tcd,98.28,1985
tcd,98.66,1990
tcd,99.09,1995
tcd,99.68,2000
tcd,100.2,2005
tcd,100.4,2010
tcd,100.5,2015
tcd,100.4,2020
tcd,100.3,2025
tcd,100.2,2030
tcd,100.3,2035
tcd,100.4,2040
tcd,100.5,2045
tcd,100.7,2050
chanisl,92.25,1950
chanisl,95.48,1955
chanisl,99.41,1960
chanisl,99.57,1965
chanisl,98.87,1970
chanisl,97.49,1975
chanisl,96.63,1980
chanisl,97.01,1985
chanisl,95.87,1990
chanisl,95.23,1995
chanisl,99.4,2000
chanisl,103.4,2005
chanisl,105.1,2010
chanisl,106.2,2015
chanisl,104.7,2020
chanisl,105.0,2025
chanisl,105.0,2030
chanisl,105.0,2035
chanisl,104.9,2040
chanisl,104.9,2045
chanisl,104.9,2050
chl,99.22,1950
chl,100.0,1955
chl,101.1,1960
chl,101.2,1965
chl,101.2,1970
chl,101.2,1975
chl,101.5,1980
chl,101.7,1985
chl,102.1,1990
chl,102.3,1995
chl,102.8,2000
chl,103.1,2005
chl,103.2,2010
chl,103.2,2015
chl,103.3,2020
chl,103.4,2025
chl,103.4,2030
chl,103.5,2035
chl,103.5,2040
chl,103.5,2045
chl,103.6,2050
chn,113.3,1950
chn,115.3,1955
chn,113.9,1960
chn,111.8,1965
chn,107.9,1970
chn,106.8,1975
chn,107.6,1980
chn,106.8,1985
chn,106.5,1990
chn,106.4,1995
chn,106.6,2000
chn,108.5,2005
chn,112.5,2010
chn,117.1,2015
chn,120.5,2020
chn,121.6,2025
chn,119.9,2030
chn,117.7,2035
chn,116.1,2040
chn,115.0,2045
chn,113.9,2050
hkg,116.8,1950
hkg,116.9,1955
hkg,118.7,1960
hkg,112.9,1965
hkg,110.9,1970
hkg,105.5,1975
hkg,109.2,1980
hkg,106.0,1985
hkg,106.0,1990
hkg,98.83,1995
hkg,95.65,2000
hkg,101.8,2005
hkg,105.0,2010
hkg,107.7,2015
hkg,108.4,2020
hkg,104.4,2025
hkg,101.0,2030
hkg,100.4,2035
hkg,100.4,2040
hkg,100.3,2045
hkg,100.1,2050
mac,123.5,1950
mac,109.7,1955
mac,104.0,1960
mac,113.2,1965
mac,113.0,1970
mac,111.8,1975
mac,103.8,1980
mac,84.51,1985
mac,73.47,1990
mac,86.11,1995
mac,90.23,2000
mac,93.44,2005
mac,90.97,2010
mac,94.71,2015
mac,100.2,2020
mac,100.4,2025
mac,100.7,2030
mac,100.8,2035
mac,100.7,2040
mac,100.4,2045
mac,99.94,2050
col,101.0,1950
col,101.1,1955
col,101.4,1960
col,101.6,1965
col,101.7,1970
col,102.0,1975
col,102.3,1980
col,102.3,1985
col,101.9,1990
col,101.3,1995
col,101.7,2000
col,102.2,2005
col,102.6,2010
col,102.8,2015
col,103.0,2020
col,103.2,2025
col,103.4,2030
col,103.6,2035
col,103.7,2040
col,103.9,2045
col,104.0,2050
com,99.17,1950
com,100.8,1955
com,101.7,1960
com,102.8,1965
com,102.9,1970
com,101.8,1975
com,101.7,1980
com,101.8,1985
com,101.4,1990
com,101.2,1995
com,101.5,2000
com,101.7,2005
com,102.1,2010
com,102.3,2015
com,102.4,2020
com,102.5,2025
com,102.6,2030
com,102.7,2035
com,102.9,2040
com,103.1,2045
com,103.4,2050
cog,98.53,1950
cog,98.67,1955
cog,98.75,1960
cog,99.05,1965
cog,100.0,1970
cog,100.5,1975
cog,100.4,1980
cog,100.4,1985
cog,100.6,1990
cog,100.9,1995
cog,101.3,2000
cog,101.1,2005
cog,101.2,2010
cog,100.9,2015
cog,100.8,2020
cog,100.8,2025
cog,100.8,2030
cog,100.7,2035
cog,100.6,2040
cog,100.8,2045
cog,101.1,2050
cri,102.6,1950
cri,100.8,1955
cri,101.1,1960
cri,102.1,1965
cri,102.9,1970
cri,102.8,1975
cri,106.8,1980
cri,106.4,1985
cri,105.2,1990
cri,104.6,1995
cri,105.0,2000
cri,105.5,2005
cri,105.9,2010
cri,106.0,2015
cri,105.6,2020
cri,105.3,2025
cri,105.2,2030
cri,105.3,2035
cri,105.3,2040
cri,105.3,2045
cri,105.4,2050
civ,105.0,1950
civ,106.7,1955
civ,107.6,1960
civ,109.3,1965
civ,107.1,1970
civ,105.5,1975
civ,105.4,1980
civ,104.6,1985
civ,103.0,1990
civ,102.7,1995
civ,101.5,2000
civ,100.5,2005
civ,100.3,2010
civ,100.3,2015
civ,100.5,2020
civ,100.5,2025
civ,100.5,2030
civ,100.5,2035
civ,100.6,2040
civ,100.7,2045
civ,100.8,2050
hrv,100.3,1950
hrv,103.0,1955
hrv,102.6,1960
hrv,102.2,1965
hrv,106.1,1970
hrv,103.7,1975
hrv,103.5,1980
hrv,103.3,1985
hrv,103.9,1990
hrv,103.3,1995
hrv,104.3,2000
hrv,103.9,2005
hrv,104.0,2010
hrv,104.7,2015
hrv,105.1,2020
hrv,105.4,2025
hrv,105.6,2030
hrv,105.7,2035
hrv,105.7,2040
hrv,105.7,2045
hrv,105.8,2050
cub,101.5,1950
cub,102.3,1955
cub,103.0,1960
cub,103.5,1965
cub,103.3,1970
cub,102.5,1975
cub,103.3,1980
cub,103.0,1985
cub,103.4,1990
cub,103.5,1995
cub,105.8,2000
cub,106.2,2005
cub,106.1,2010
cub,106.1,2015
cub,106.4,2020
cub,106.8,2025
cub,107.8,2030
cub,108.4,2035
cub,108.1,2040
cub,107.8,2045
cub,108.1,2050
cyp,95.46,1950
cyp,96.85,1955
cyp,94.71,1960
cyp,100.4,1965
cyp,101.9,1970
cyp,104.2,1975
cyp,106.7,1980
cyp,105.5,1985
cyp,104.2,1990
cyp,103.3,1995
cyp,104.2,2000
cyp,105.1,2005
cyp,104.9,2010
cyp,103.7,2015
cyp,103.5,2020
cyp,104.7,2025
cyp,105.4,2030
cyp,105.5,2035
cyp,105.6,2040
cyp,105.6,2045
cyp,105.7,2050
cze,101.8,1950
cze,101.9,1955
cze,102.6,1960
cze,103.5,1965
cze,104.2,1970
cze,104.3,1975
cze,104.6,1980
cze,104.7,1985
cze,104.7,1990
cze,104.6,1995
cze,104.5,2000
cze,104.8,2005
cze,106.7,2010
cze,105.8,2015
cze,105.8,2020
cze,105.7,2025
cze,105.7,2030
cze,105.7,2035
cze,105.8,2040
cze,105.8,2045
cze,105.8,2050
prk,76.33,1950
prk,90.07,1955
prk,99.11,1960
prk,102.9,1965
prk,103.9,1970
prk,103.7,1975
prk,103.9,1980
prk,104.0,1985
prk,103.9,1990
prk,103.9,1995
prk,104.1,2000
prk,104.3,2005
prk,104.5,2010
prk,104.5,2015
prk,104.9,2020
prk,105.4,2025
prk,105.5,2030
prk,105.7,2035
prk,105.9,2040
prk,106.2,2045
prk,106.4,2050
cod,90.28,1950
cod,92.01,1955
cod,93.81,1960
cod,95.66,1965
cod,97.73,1970
cod,98.93,1975
cod,99.12,1980
cod,99.29,1985
cod,99.54,1990
cod,99.75,1995
cod,99.85,2000
cod,99.94,2005
cod,99.93,2010
cod,99.72,2015
cod,99.69,2020
cod,99.68,2025
cod,99.53,2030
cod,99.47,2035
cod,99.48,2040
cod,99.55,2045
cod,99.65,2050
dnk,101.7,1950
dnk,102.0,1955
dnk,103.6,1960
dnk,104.9,1965
dnk,105.8,1970
dnk,105.4,1975
dnk,104.7,1980
dnk,105.2,1985
dnk,105.0,1990
dnk,104.1,1995
dnk,103.4,2000
dnk,104.0,2005
dnk,106.3,2010
dnk,107.2,2015
dnk,108.0,2020
dnk,108.8,2025
dnk,109.3,2030
dnk,109.4,2035
dnk,109.4,2040
dnk,109.3,2045
dnk,109.3,2050
dji,100.0,1950
dji,100.5,1955
dji,100.7,1960
dji,100.8,1965
dji,100.1,1970
dji,99.57,1975
dji,99.95,1980
dji,100.4,1985
dji,100.8,1990
dji,101.1,1995
dji,101.4,2000
dji,101.5,2005
dji,101.4,2010
dji,101.3,2015
dji,101.4,2020
dji,101.5,2025
dji,101.5,2030
dji,101.5,2035
dji,101.5,2040
dji,101.5,2045
dji,101.6,2050
dom,97.4,1950
dom,97.24,1955
dom,96.78,1960
dom,96.97,1965
dom,97.3,1970
dom,98.07,1975
dom,98.55,1980
dom,98.78,1985
dom,99.06,1990
dom,99.54,1995
dom,100.1,2000
dom,100.6,2005
dom,101.2,2010
dom,101.6,2015
dom,101.7,2020
dom,102.0,2025
dom,102.1,2030
dom,102.3,2035
dom,102.3,2040
dom,102.4,2045
dom,102.4,2050
ecu,101.3,1950
ecu,101.7,1955
ecu,102.0,1960
ecu,102.1,1965
ecu,102.0,1970
ecu,102.0,1975
ecu,102.2,1980
ecu,102.3,1985
ecu,102.4,1990
ecu,102.5,1995
ecu,102.4,2000
ecu,102.6,2005
ecu,102.9,2010
ecu,103.3,2015
ecu,103.5,2020
ecu,103.7,2025
ecu,103.8,2030
ecu,104.0,2035
ecu,104.2,2040
ecu,104.3,2045
ecu,104.4,2050
egy,100.8,1950
egy,101.2,1955
egy,101.7,1960
egy,102.5,1965
egy,102.4,1970
egy,102.1,1975
egy,100.8,1980
egy,101.7,1985
egy,101.0,1990
egy,102.1,1995
egy,103.1,2000
egy,103.1,2005
egy,103.6,2010
egy,103.1,2015
egy,103.0,2020
egy,103.1,2025
egy,103.2,2030
egy,103.2,2035
egy,103.3,2040
egy,103.4,2045
egy,103.6,2050
slv,95.18,1950
slv,95.16,1955
slv,94.09,1960
slv,98.81,1965
slv,98.37,1970
slv,97.83,1975
slv,96.7,1980
slv,91.92,1985
slv,93.88,1990
slv,96.01,1995
slv,94.81,2000
slv,92.96,2005
slv,95.3,2010
slv,97.64,2015
slv,98.39,2020
slv,99.75,2025
slv,101.9,2030
slv,102.7,2035
slv,102.8,2040
slv,102.8,2045
slv,102.8,2050
gnq,98.09,1950
gnq,98.48,1955
gnq,96.88,1960
gnq,96.04,1965
gnq,97.41,1970
gnq,100.6,1975
gnq,100.2,1980
gnq,97.7,1985
gnq,98.08,1990
gnq,98.62,1995
gnq,99.03,2000
gnq,99.38,2005
gnq,99.63,2010
gnq,99.98,2015
gnq,100.2,2020
gnq,100.3,2025
gnq,100.3,2030
gnq,100.4,2035
gnq,100.5,2040
gnq,100.5,2045
gnq,100.5,2050
eri,100.0,1950
eri,99.92,1955
eri,99.78,1960
eri,99.24,1965
eri,99.25,1970
eri,98.58,1975
eri,91.08,1980
eri,98.7,1985
eri,101.4,1990
eri,102.2,1995
eri,100.3,2000
eri,98.09,2005
eri,99.22,2010
eri,100.2,2015
eri,101.1,2020
eri,101.5,2025
eri,101.8,2030
eri,102.0,2035
eri,102.2,2040
eri,102.4,2045
eri,102.5,2050
est,91.59,1950
est,98.34,1955
est,100.7,1960
est,103.3,1965
est,110.7,1970
est,108.5,1975
est,107.7,1980
est,104.9,1985
est,106.8,1990
est,102.6,1995
est,103.7,2000
est,104.6,2005
est,105.1,2010
est,105.5,2015
est,105.5,2020
est,105.4,2025
est,105.3,2030
est,105.4,2035
est,105.5,2040
est,105.6,2045
est,105.7,2050
eth,101.2,1950
eth,100.9,1955
eth,100.8,1960
eth,101.1,1965
eth,99.85,1970
