subsistence_incomes_per_person,geo,time
1.035,afg,1800
1.035,afg,1820
1.4,afg,1913
1.661,afg,1950
1.681,afg,1951
1.709,afg,1952
1.783,afg,1953
1.788,afg,1954
1.79,afg,1955
1.836,afg,1956
1.8,afg,1957
1.863,afg,1958
1.878,afg,1959
1.905,afg,1960
1.88,afg,1961
1.871,afg,1962
1.863,afg,1963
1.856,afg,1964
1.854,afg,1965
1.828,afg,1966
1.834,afg,1967
1.853,afg,1968
1.837,afg,1969
1.827,afg,1970
1.697,afg,1971
1.623,afg,1972
1.762,afg,1973
1.81,afg,1974
1.856,afg,1975
1.9,afg,1976
1.724,afg,1977
1.814,afg,1978
1.774,afg,1979
1.777,afg,1980
1.967,afg,1981
2.145,afg,1982
2.222,afg,1983
2.181,afg,1984
2.109,afg,1985
2.261,afg,1986
1.869,afg,1987
1.689,afg,1988
1.648,afg,1989
1.556,afg,1990
1.547,afg,1991
1.424,afg,1992
1.226,afg,1993
1.097,afg,1994
1.32,afg,1995
1.355,afg,1996
1.393,afg,1997
1.433,afg,1998
1.471,afg,1999
1.456,afg,2000
1.305,afg,2001
1.594,afg,2002
1.722,afg,2003
1.765,afg,2004
1.917,afg,2005
1.996,afg,2006
2.221,afg,2007
2.235,afg,2008
2.668,afg,2009
1.318,alb,1800
1.346,alb,1820
1.497,alb,1870
2.006,alb,1890
2.299,alb,1900
2.619,alb,1910
2.721,alb,1913
3.109,alb,1929
3.36,alb,1950
3.505,alb,1951
3.511,alb,1952
3.653,alb,1953
3.76,alb,1954
3.963,alb,1955
4.003,alb,1956
4.259,alb,1957
4.451,alb,1958
4.635,alb,1959
4.869,alb,1960
4.91,alb,1961
5.072,alb,1962
5.245,alb,1963
5.425,alb,1964
5.623,alb,1965
5.833,alb,1966
6.053,alb,1967
6.272,alb,1968
6.485,alb,1969
6.724,alb,1970
6.992,alb,1971
7.266,alb,1972
7.628,alb,1973
7.657,alb,1974
7.683,alb,1975
7.714,alb,1976
7.748,alb,1977
7.783,alb,1978
7.821,alb,1979
7.877,alb,1980
7.919,alb,1981
7.962,alb,1982
8.009,alb,1983
8.055,alb,1984
8.097,alb,1985
8.148,alb,1986
8.199,alb,1987
8.251,alb,1988
8.314,alb,1989
8.388,alb,1990
5.96,alb,1991
5.477,alb,1992
5.958,alb,1993
6.401,alb,1994
7.205,alb,1995
7.828,alb,1996
7.002,alb,1997
7.861,alb,1998
8.615,alb,1999
9.2,alb,2000
9.816,alb,2001
10.1,alb,2002
10.65,alb,2003
11.22,alb,2004
11.77,alb,2005
12.36,alb,2006
13.09,alb,2007
14.03,alb,2008
14.36,alb,2009
1.68,dza,1800
1.68,dza,1820
2.791,dza,1870
4.541,dza,1913
5.327,dza,1950
5.258,dza,1951
5.371,dza,1952
5.343,dza,1953
5.609,dza,1954
5.641,dza,1955
6.062,dza,1956
6.61,dza,1957
6.71,dza,1958
7.782,dza,1959
8.151,dza,1960
7.024,dza,1961
5.594,dza,1962
6.9,dza,1963
7.049,dza,1964
7.298,dza,1965
6.734,dza,1966
7.121,dza,1967
7.719,dza,1968
8.219,dza,1969
8.78,dza,1970
7.806,dza,1971
9.173,dza,1972
9.199,dza,1973
9.476,dza,1974
9.844,dza,1975
10.18,dza,1976
10.77,dza,1977
11.78,dza,1978
12.46,dza,1979
12.3,dza,1980
12.22,dza,1981
12.6,dza,1982
12.84,dza,1983
13.13,dza,1984
13.39,dza,1985
12.89,dza,1986
12.46,dza,1987
11.88,dza,1988
11.97,dza,1989
11.5,dza,1990
11.1,dza,1991
11.02,dza,1992
10.53,dza,1993
10.2,dza,1994
10.38,dza,1995
10.58,dza,1996
10.52,dza,1997
10.89,dza,1998
11.07,dza,1999
11.18,dza,2000
11.31,dza,2001
11.6,dza,2002
12.23,dza,2003
12.7,dza,2004
13.18,dza,2005
13.09,dza,2006
13.25,dza,2007
13.54,dza,2008
13.61,dza,2009
1.479,asm,1800
1.479,asm,1820
2.0,asm,1913
9.792,asm,1950
13.78,asm,1973
14.25,asm,1990
17.05,asm,2001
21.09,asm,2005
22.06,asm,2006
2.763,and,1800
2.857,and,1820
8.457,and,1913
71.02,and,1970
70.6,and,1971
72.54,and,1972
74.46,and,1973
75.1,and,1974
72.4,and,1975
72.02,and,1976
71.56,and,1977
70.19,and,1978
67.62,and,1979
66.19,and,1980
62.9,and,1981
60.36,and,1982
58.26,and,1983
56.62,and,1984
55.85,and,1985
56.19,and,1986
58.28,and,1987
60.35,and,1988
62.02,and,1989
62.52,and,1990
61.6,and,1991
59.3,and,1992
55.95,and,1993
55.03,and,1994
54.96,and,1995
56.66,and,1996
61.53,and,1997
63.56,and,1998
66.11,and,1999
66.37,and,2000
73.01,and,2001
75.63,and,2002
78.78,and,2003
82.08,and,2004
85.53,and,2005
89.15,and,2006
88.79,and,2007
90.68,and,2008
0.7893,ago,1800
0.7893,ago,1820
1.22,ago,1913
7.375,ago,1950
7.546,ago,1951
7.721,ago,1952
7.892,ago,1953
7.568,ago,1954
8.053,ago,1955
7.783,ago,1956
8.395,ago,1957
8.698,ago,1958
8.592,ago,1959
8.786,ago,1960
9.789,ago,1961
9.362,ago,1962
9.679,ago,1963
10.58,ago,1964
11.19,ago,1965
11.64,ago,1966
12.11,ago,1967
11.73,ago,1968
11.86,ago,1969
12.39,ago,1970
12.12,ago,1971
12.0,ago,1972
12.55,ago,1973
12.0,ago,1974
7.524,ago,1975
6.689,ago,1976
6.598,ago,1977
6.734,ago,1978
6.721,ago,1979
6.743,ago,1980
6.477,ago,1981
6.046,ago,1982
5.668,ago,1983
5.543,ago,1984
5.467,ago,1985
4.87,ago,1986
5.329,ago,1987
5.984,ago,1988
5.988,ago,1989
6.091,ago,1990
5.989,ago,1991
5.763,ago,1992
4.101,ago,1993
4.06,ago,1994
4.362,ago,1995
4.731,ago,1996
4.994,ago,1997
5.229,ago,1998
5.301,ago,1999
5.365,ago,2000
5.438,ago,2001
6.082,ago,2002
6.108,ago,2003
6.595,ago,2004
7.748,ago,2005
8.924,ago,2006
10.43,ago,2007
11.47,ago,2008
11.09,ago,2009
1.701,aia,1800
1.701,aia,1820
3.138,aia,1913
12.48,aia,1970
12.01,aia,1971
13.23,aia,1972
13.63,aia,1973
13.48,aia,1974
13.86,aia,1975
14.02,aia,1976
14.02,aia,1977
15.04,aia,1978
16.46,aia,1979
17.25,aia,1980
17.88,aia,1981
17.65,aia,1982
17.58,aia,1983
18.12,aia,1984
19.68,aia,1985
21.73,aia,1986
23.26,aia,1987
25.45,aia,1988
26.8,aia,1989
27.05,aia,1990
25.68,aia,1991
26.75,aia,1992
28.01,aia,1993
29.56,aia,1994
28.26,aia,1995
28.42,aia,1996
30.91,aia,1997
33.55,aia,1998
34.24,aia,1999
34.1,aia,2000
34.38,aia,2001
33.29,aia,2002
33.55,aia,2003
40.09,aia,2004
42.72,aia,2005
50.36,aia,2006
59.15,aia,2007
66.62,aia,2008
1.181,atg,1800
1.181,atg,1820
2.178,atg,1913
8.66,atg,1970
9.076,atg,1971
9.504,atg,1972
10.08,atg,1973
10.25,atg,1974
9.61,atg,1975
8.754,atg,1976
9.473,atg,1977
9.945,atg,1978
11.2,atg,1979
12.13,atg,1980
12.9,atg,1981
13.1,atg,1982
14.15,atg,1983
15.4,atg,1984
16.87,atg,1985
18.67,atg,1986
20.78,atg,1987
22.86,atg,1988
24.59,atg,1989
25.38,atg,1990
25.77,atg,1991
25.61,atg,1992
26.4,atg,1993
27.36,atg,1994
25.55,atg,1995
26.55,atg,1996
27.17,atg,1997
27.66,atg,1998
28.13,atg,1999
27.94,atg,2000
28.01,atg,2001
28.23,atg,2002
29.27,atg,2003
30.95,atg,2004
31.97,atg,2005
35.7,atg,2006
37.6,atg,2007
37.85,atg,2008
34.94,atg,2009
1.911,arg,1800
1.911,arg,1820
4.135,arg,1875
4.095,arg,1876
4.39,arg,1877
4.034,arg,1878
4.086,arg,1879
3.881,arg,1880
3.823,arg,1881
4.695,arg,1882
5.118,arg,1883
5.321,arg,1884
6.075,arg,1885
5.911,arg,1886
6.129,arg,1887
6.922,arg,1888
7.379,arg,1889
6.541,arg,1890
5.988,arg,1891
6.966,arg,1892
7.163,arg,1893
8.037,arg,1894
8.661,arg,1895
9.312,arg,1896
7.275,arg,1897
7.672,arg,1898
8.797,arg,1899
7.499,arg,1900
7.921,arg,1901
7.536,arg,1902
8.401,arg,1903
9.059,arg,1904
10.01,arg,1905
10.04,arg,1906
9.79,arg,1907
10.29,arg,1908
10.33,arg,1909
10.6,arg,1910
10.36,arg,1911
10.8,arg,1912
10.48,arg,1913
8.974,arg,1914
8.662,arg,1915
8.263,arg,1916
7.451,arg,1917
8.688,arg,1918
8.857,arg,1919
9.349,arg,1920
9.303,arg,1921
9.764,arg,1922
10.54,arg,1923
11.04,arg,1924
10.66,arg,1925
10.88,arg,1926
11.36,arg,1927
11.75,arg,1928
11.97,arg,1929
11.14,arg,1930
10.16,arg,1931
9.635,arg,1932
9.908,arg,1933
10.5,arg,1934
10.77,arg,1935
10.69,arg,1936
11.29,arg,1937
11.15,arg,1938
11.4,arg,1939
11.41,arg,1940
11.83,arg,1941
11.77,arg,1942
11.51,arg,1943
12.63,arg,1944
12.02,arg,1945
12.82,arg,1946
13.95,arg,1947
14.39,arg,1948
13.87,arg,1949
13.71,arg,1950
13.95,arg,1951
12.96,arg,1952
13.39,arg,1953
13.69,arg,1954
14.4,arg,1955
14.54,arg,1956
15.04,arg,1957
15.7,arg,1958
14.42,arg,1959
15.32,arg,1960
16.16,arg,1961
15.64,arg,1962
15.03,arg,1963
16.34,arg,1964
17.59,arg,1965
17.45,arg,1966
17.66,arg,1967
18.17,arg,1968
19.45,arg,1969
20.2,arg,1970
20.63,arg,1971
20.71,arg,1972
21.13,arg,1973
21.91,arg,1974
21.42,arg,1975
21.08,arg,1976
22.1,arg,1977
21.06,arg,1978
22.2,arg,1979
22.21,arg,1980
20.66,arg,1981
19.73,arg,1982
20.26,arg,1983
20.4,arg,1984
18.7,arg,1985
19.8,arg,1986
20.04,arg,1987
19.4,arg,1988
17.78,arg,1989
17.21,arg,1990
18.81,arg,1991
20.41,arg,1992
21.36,arg,1993
22.38,arg,1994
21.51,arg,1995
22.47,arg,1996
24.05,arg,1997
24.72,arg,1998
23.62,arg,1999
23.18,arg,2000
21.91,arg,2001
19.29,arg,2002
20.79,arg,2003
22.44,arg,2004
24.26,arg,2005
26.06,arg,2006
28.04,arg,2007
29.64,arg,2008
29.6,arg,2009
1.102,arm,1800
1.125,arm,1820
2.509,arm,1913
4.916,arm,1950
6.248,arm,1973
6.16,arm,1990
5.343,arm,1991
3.164,arm,1992
3.017,arm,1993
3.287,arm,1994
3.58,arm,1995
3.797,arm,1996
3.928,arm,1997
4.229,arm,1998
4.371,arm,1999
4.636,arm,2000
5.106,arm,2001
5.904,arm,2002
6.752,arm,2003
7.487,arm,2004
8.559,arm,2005
9.678,arm,2006
10.99,arm,2007
11.71,arm,2008
9.92,arm,2009
1.263,abw,1800
1.263,abw,1820
2.33,abw,1913
9.263,abw,1970
10.02,abw,1971
10.83,abw,1972
11.72,abw,1973
12.69,abw,1974
13.75,abw,1975
14.92,abw,1976
16.21,abw,1977
17.6,abw,1978
19.08,abw,1979
20.64,abw,1980
22.22,abw,1981
23.85,abw,1982
25.6,abw,1983
27.61,abw,1984
30.0,abw,1985
32.93,abw,1986
38.76,abw,1987
46.61,abw,1988
52.29,abw,1989
53.33,abw,1990
55.19,abw,1991
55.09,abw,1992
55.43,abw,1993
56.65,abw,1994
55.61,abw,1995
54.75,abw,1996
58.08,abw,1997
61.32,abw,1998
61.32,abw,1999
62.96,abw,2000
61.15,abw,2001
58.04,abw,2002
56.54,abw,2003
59.15,abw,2004
58.69,abw,2005
58.08,abw,2006
57.18,abw,2007
55.59,abw,2008
1.473,aus,1800
1.537,aus,1820
1.551,aus,1821
1.597,aus,1822
1.651,aus,1823
1.743,aus,1824
1.827,aus,1825
1.862,aus,1826
1.918,aus,1827
1.967,aus,1828
2.076,aus,1829
2.518,aus,1830
2.603,aus,1831
2.661,aus,1832
2.67,aus,1833
2.809,aus,1834
3.399,aus,1835
3.34,aus,1836
3.501,aus,1837
3.458,aus,1838
3.226,aus,1839
4.078,aus,1840
3.478,aus,1841
3.172,aus,1842
3.679,aus,1843
4.181,aus,1844
4.302,aus,1845
4.755,aus,1846
5.501,aus,1847
6.295,aus,1848
6.22,aus,1849
5.863,aus,1850
6.958,aus,1851
8.16,aus,1852
8.934,aus,1853
7.823,aus,1854
7.425,aus,1855
9.06,aus,1856
7.995,aus,1857
6.818,aus,1858
8.802,aus,1859
8.591,aus,1860
8.461,aus,1861
8.131,aus,1862
8.104,aus,1863
8.594,aus,1864
8.197,aus,1865
8.439,aus,1866
9.227,aus,1867
9.369,aus,1868
9.182,aus,1869
9.715,aus,1870
9.79,aus,1871
10.55,aus,1872
11.35,aus,1873
11.38,aus,1874
12.28,aus,1875
11.89,aus,1876
11.98,aus,1877
12.7,aus,1878
12.48,aus,1879
12.72,aus,1880
13.22,aus,1881
12.06,aus,1882
13.28,aus,1883
12.77,aus,1884
13.13,aus,1885
12.85,aus,1886
13.75,aus,1887
13.37,aus,1888
14.09,aus,1889
13.23,aus,1890
13.85,aus,1891
11.86,aus,1892
11.01,aus,1893
11.18,aus,1894
10.35,aus,1895
10.94,aus,1896
10.15,aus,1897
11.55,aus,1898
11.4,aus,1899
11.91,aus,1900
11.39,aus,1901
11.35,aus,1902
12.1,aus,1903
12.75,aus,1904
12.71,aus,1905
13.38,aus,1906
13.7,aus,1907
13.93,aus,1908
14.78,aus,1909
15.46,aus,1910
15.15,aus,1911
15.13,aus,1912
15.31,aus,1913
14.92,aus,1914
14.53,aus,1915
14.48,aus,1916
14.22,aus,1917
13.66,aus,1918
14.0,aus,1919
14.14,aus,1920
14.58,aus,1921
15.03,aus,1922
15.41,aus,1923
16.08,aus,1924
16.48,aus,1925
16.54,aus,1926
16.45,aus,1927
16.18,aus,1928
15.62,aus,1929
13.97,aus,1930
12.92,aus,1931
13.55,aus,1932
14.37,aus,1933
15.02,aus,1934
15.78,aus,1935
16.37,aus,1936
17.05,aus,1937
17.47,aus,1938
17.35,aus,1939
18.3,aus,1940
20.15,aus,1941
22.28,aus,1942
22.86,aus,1943
21.85,aus,1944
20.53,aus,1945
19.57,aus,1946
19.78,aus,1947
20.68,aus,1948
21.48,aus,1949
22.0,aus,1950
22.28,aus,1951
22.02,aus,1952
22.28,aus,1953
23.12,aus,1954
23.83,aus,1955
24.07,aus,1956
24.01,aus,1957
24.65,aus,1958
25.61,aus,1959
26.09,aus,1960
25.68,aus,1961
26.79,aus,1962
27.9,aus,1963
29.23,aus,1964
30.13,aus,1965
30.4,aus,1966
31.86,aus,1967
33.09,aus,1968
34.31,aus,1969
35.69,aus,1970
36.48,aus,1971
36.82,aus,1972
38.22,aus,1973
38.54,aus,1974
39.09,aus,1975
40.24,aus,1976
40.21,aus,1977
40.87,aus,1978
42.5,aus,1979
42.78,aus,1980
43.51,aus,1981
42.71,aus,1982
42.14,aus,1983
44.51,aus,1984
46.14,aus,1985
46.42,aus,1986
48.0,aus,1987
49.36,aus,1988
50.73,aus,1989
50.77,aus,1990
50.21,aus,1991
51.37,aus,1992
52.75,aus,1993
54.34,aus,1994
55.96,aus,1995
57.35,aus,1996
59.21,aus,1997
61.77,aus,1998
63.56,aus,1999
64.13,aus,2000
65.88,aus,2001
67.3,aus,2002
69.37,aus,2003
70.39,aus,2004
71.93,aus,2005
72.63,aus,2006
74.75,aus,2007
75.09,aus,2008
75.28,aus,2009
2.908,aut,1500
2.73,aut,1570
2.657,aut,1600
2.683,aut,1609
2.781,aut,1642
2.805,aut,1650
2.833,aut,1659
2.929,aut,1690
2.961,aut,1700
2.997,aut,1720
3.032,aut,1739
3.034,aut,1740
3.052,aut,1750
3.071,aut,1760
3.089,aut,1770
3.108,aut,1780
3.127,aut,1790
3.129,aut,1791
3.131,aut,1792
3.133,aut,1793
3.134,aut,1794
3.136,aut,1795
3.138,aut,1796
3.14,aut,1797
3.142,aut,1798
3.144,aut,1799
3.146,aut,1800
3.158,aut,1801
3.17,aut,1802
3.183,aut,1803
3.195,aut,1804
3.207,aut,1805
3.22,aut,1806
3.232,aut,1807
3.245,aut,1808
3.257,aut,1809
3.27,aut,1810
3.283,aut,1811
3.295,aut,1812
3.308,aut,1813
3.321,aut,1814
3.334,aut,1815
3.347,aut,1816
3.36,aut,1817
3.373,aut,1818
3.386,aut,1819
3.399,aut,1820
3.454,aut,1821
3.51,aut,1822
3.566,aut,1823
3.623,aut,1824
3.682,aut,1825
3.741,aut,1826
3.801,aut,1827
3.863,aut,1828
3.925,aut,1829
3.988,aut,1830
4.029,aut,1831
4.07,aut,1832
4.111,aut,1833
4.153,aut,1834
4.195,aut,1835
4.238,aut,1836
4.281,aut,1837
4.325,aut,1838
4.369,aut,1839
4.414,aut,1840
4.461,aut,1841
4.51,aut,1842
4.558,aut,1843
4.608,aut,1844
4.658,aut,1845
4.708,aut,1846
4.759,aut,1847
4.81,aut,1848
4.862,aut,1849
4.915,aut,1850
4.962,aut,1851
5.01,aut,1852
5.059,aut,1853
5.107,aut,1854
5.157,aut,1855
5.206,aut,1856
5.257,aut,1857
5.307,aut,1858
5.358,aut,1859
5.41,aut,1860
5.447,aut,1861
5.485,aut,1862
5.522,aut,1863
5.56,aut,1864
5.598,aut,1865
5.637,aut,1866
5.675,aut,1867
5.714,aut,1868
5.754,aut,1869
5.793,aut,1870
6.169,aut,1871
6.174,aut,1872
5.989,aut,1873
6.215,aut,1874
6.204,aut,1875
6.302,aut,1876
6.475,aut,1877
6.647,aut,1878
6.559,aut,1879
6.608,aut,1880
6.833,aut,1881
6.832,aut,1882
7.067,aut,1883
7.209,aut,1884
7.118,aut,1885
7.303,aut,1886
7.76,aut,1887
7.695,aut,1888
7.575,aut,1889
7.937,aut,1890
8.158,aut,1891
8.271,aut,1892
8.256,aut,1893
8.665,aut,1894
8.826,aut,1895
8.889,aut,1896
9.004,aut,1897
9.437,aut,1898
9.56,aut,1899
9.566,aut,1900
9.527,aut,1901
9.82,aut,1902
9.826,aut,1903
9.898,aut,1904
10.37,aut,1905
10.68,aut,1906
11.25,aut,1907
11.21,aut,1908
11.09,aut,1909
11.16,aut,1910
11.42,aut,1911
11.89,aut,1912
11.76,aut,1913
9.755,aut,1914
9.0,aut,1915
8.914,aut,1916
8.774,aut,1917
8.667,aut,1918
7.663,aut,1919
8.184,aut,1920
8.99,aut,1921
9.762,aut,1922
9.642,aut,1923
10.73,aut,1924
11.42,aut,1925
11.58,aut,1926
11.89,aut,1927
12.41,aut,1928
12.55,aut,1929
12.16,aut,1930
11.15,aut,1931
9.973,aut,1932
9.611,aut,1933
9.674,aut,1934
9.861,aut,1935
10.16,aut,1936
10.71,aut,1937
12.08,aut,1938
13.9,aut,1939
13.43,aut,1940
14.31,aut,1941
13.51,aut,1942
13.79,aut,1943
12.91,aut,1944
5.851,aut,1945
6.637,aut,1946
7.35,aut,1947
9.378,aut,1948
11.17,aut,1949
12.57,aut,1950
13.43,aut,1951
13.46,aut,1952
14.03,aut,1953
15.45,aut,1954
17.14,aut,1955
18.31,aut,1956
19.39,aut,1957
20.04,aut,1958
20.53,aut,1959
22.11,aut,1960
23.16,aut,1961
23.58,aut,1962
24.38,aut,1963
25.67,aut,1964
26.24,aut,1965
27.52,aut,1966
28.15,aut,1967
29.24,aut,1968
30.98,aut,1969
33.07,aut,1970
34.6,aut,1971
36.54,aut,1972
38.11,aut,1973
39.55,aut,1974
39.51,aut,1975
41.39,aut,1976
43.31,aut,1977
43.19,aut,1978
45.62,aut,1979
46.68,aut,1980
46.54,aut,1981
47.36,aut,1982
48.83,aut,1983
48.98,aut,1984
50.05,aut,1985
51.16,aut,1986
51.95,aut,1987
53.45,aut,1988
55.5,aut,1989
57.31,aut,1990
58.65,aut,1991
59.3,aut,1992
58.95,aut,1993
60.23,aut,1994
61.23,aut,1995
62.72,aut,1996
63.81,aut,1997
66.03,aut,1998
68.07,aut,1999
70.19,aut,2000
70.61,aut,2001
71.09,aut,2002
71.8,aut,2003
73.37,aut,2004
74.8,aut,2005
77.11,aut,2006
79.71,aut,2007
81.21,aut,2008
78.15,aut,2009
1.403,aze,1800
1.433,aze,1820
3.194,aze,1913
6.259,aze,1950
9.705,aze,1973
10.15,aze,1990
9.932,aze,1991
7.578,aze,1992
5.762,aze,1993
4.581,aze,1994
4.01,aze,1995
4.042,aze,1996
4.262,aze,1997
4.676,aze,1998
5.012,aze,1999
5.555,aze,2000
6.087,aze,2001
6.709,aze,2002
7.429,aze,2003
8.246,aze,2004
10.19,aze,2005
13.56,aze,2006
16.77,aze,2007
18.38,aze,2008
19.93,aze,2009
3.09,bhs,1800
3.09,bhs,1820
5.702,bhs,1913
13.79,bhs,1938
21.08,bhs,1950
30.01,bhs,1960
31.59,bhs,1961
33.15,bhs,1962
34.83,bhs,1963
36.64,bhs,1964
38.62,bhs,1965
40.3,bhs,1966
42.36,bhs,1967
44.2,bhs,1968
46.53,bhs,1969
42.59,bhs,1970
42.17,bhs,1971
39.81,bhs,1972
41.98,bhs,1973
34.28,bhs,1974
28.64,bhs,1975
29.51,bhs,1976
31.54,bhs,1977
35.24,bhs,1978
43.5,bhs,1979
45.33,bhs,1980
43.08,bhs,1981
44.81,bhs,1982
46.85,bhs,1983
46.98,bhs,1984
47.96,bhs,1985
48.3,bhs,1986
49.21,bhs,1987
49.45,bhs,1988
49.71,bhs,1989
48.04,bhs,1990
45.18,bhs,1991
42.62,bhs,1992
41.93,bhs,1993
42.44,bhs,1994
43.51,bhs,1995
44.58,bhs,1996
46.03,bhs,1997
48.41,bhs,1998
49.61,bhs,1999
49.84,bhs,2000
49.56,bhs,2001
50.02,bhs,2002
49.88,bhs,2003
49.88,bhs,2004
50.48,bhs,2005
51.91,bhs,2006
51.59,bhs,2007
50.06,bhs,2008
47.22,bhs,2009
1.774,bhr,1800
1.782,bhr,1820
3.058,bhr,1913
3.455,bhr,1934
20.08,bhr,1950
20.85,bhr,1951
21.64,bhr,1952
22.44,bhr,1953
23.24,bhr,1954
24.03,bhr,1955
24.8,bhr,1956
25.52,bhr,1957
26.14,bhr,1958
26.69,bhr,1959
27.14,bhr,1960
27.51,bhr,1961
27.97,bhr,1962
28.57,bhr,1963
29.33,bhr,1964
30.29,bhr,1965
31.33,bhr,1966
32.47,bhr,1967
33.6,bhr,1968
34.79,bhr,1969
36.15,bhr,1970
38.01,bhr,1971
40.06,bhr,1972
41.76,bhr,1973
43.65,bhr,1974
37.43,bhr,1975
41.16,bhr,1976
42.41,bhr,1977
42.13,bhr,1978
40.29,bhr,1979
41.88,bhr,1980
41.16,bhr,1981
42.13,bhr,1982
43.34,bhr,1983
43.49,bhr,1984
41.74,bhr,1985
41.19,bhr,1986
40.62,bhr,1987
40.73,bhr,1988
40.42,bhr,1989
39.17,bhr,1990
39.8,bhr,1991
41.74,bhr,1992
44.0,bhr,1993
42.76,bhr,1994
43.33,bhr,1995
44.08,bhr,1996
44.5,bhr,1997
45.69,bhr,1998
46.75,bhr,1999
48.28,bhr,2000
49.63,bhr,2001
51.32,bhr,2002
54.14,bhr,2003
56.27,bhr,2004
59.73,bhr,2005
62.45,bhr,2006
66.17,bhr,2007
68.84,bhr,2008
53.13,bhr,2009
1.434,bgd,1600
1.428,bgd,1609
1.407,bgd,1642
1.402,bgd,1650
1.396,bgd,1659
1.377,bgd,1690
1.37,bgd,1700
1.363,bgd,1720
1.356,bgd,1739
1.356,bgd,1740
1.353,bgd,1750
1.349,bgd,1760
1.346,bgd,1770
1.342,bgd,1780
1.339,bgd,1790
1.338,bgd,1791
1.338,bgd,1792
1.338,bgd,1793
1.337,bgd,1794
1.337,bgd,1795
1.336,bgd,1796
1.336,bgd,1797
1.336,bgd,1798
1.335,bgd,1799
1.335,bgd,1800
1.335,bgd,1801
1.334,bgd,1802
1.334,bgd,1803
1.334,bgd,1804
1.333,bgd,1805
1.333,bgd,1806
1.333,bgd,1807
1.332,bgd,1808
1.332,bgd,1809
1.332,bgd,1810
1.331,bgd,1811
1.331,bgd,1812
1.331,bgd,1813
1.33,bgd,1814
1.33,bgd,1815
1.33,bgd,1816
1.329,bgd,1817
1.329,bgd,1818
1.328,bgd,1819
1.328,bgd,1820
1.328,bgd,1821
1.328,bgd,1822
1.328,bgd,1823
1.328,bgd,1824
1.328,bgd,1825
1.328,bgd,1826
1.328,bgd,1827
1.328,bgd,1828
1.328,bgd,1829
1.328,bgd,1830
1.328,bgd,1831
1.328,bgd,1832
1.328,bgd,1833
1.328,bgd,1834
1.328,bgd,1835
1.328,bgd,1836
1.328,bgd,1837
1.328,bgd,1838
1.328,bgd,1839
1.328,bgd,1840
1.328,bgd,1841
1.328,bgd,1842
1.328,bgd,1843
1.328,bgd,1844
1.328,bgd,1845
1.328,bgd,1846
1.328,bgd,1847
1.328,bgd,1848
1.328,bgd,1849
1.328,bgd,1850
1.328,bgd,1851
1.328,bgd,1852
1.328,bgd,1853
1.328,bgd,1854
1.328,bgd,1855
1.328,bgd,1856
1.328,bgd,1857
1.328,bgd,1858
1.328,bgd,1859
1.328,bgd,1860
1.328,bgd,1861
1.328,bgd,1862
1.328,bgd,1863
1.328,bgd,1864
1.328,bgd,1865
1.328,bgd,1866
1.328,bgd,1867
1.328,bgd,1868
1.328,bgd,1869
1.328,bgd,1870
1.331,bgd,1871
1.334,bgd,1872
1.337,bgd,1873
1.34,bgd,1874
1.344,bgd,1875
1.347,bgd,1876
1.35,bgd,1877
1.353,bgd,1878
1.356,bgd,1879
1.359,bgd,1880
1.362,bgd,1881
1.365,bgd,1882
1.368,bgd,1883
1.372,bgd,1884
1.412,bgd,1885
1.365,bgd,1886
1.424,bgd,1887
1.435,bgd,1888
1.393,bgd,1889
1.455,bgd,1890
1.319,bgd,1891
1.423,bgd,1892
1.456,bgd,1893
1.476,bgd,1894
1.437,bgd,1895
1.329,bgd,1896
1.569,bgd,1897
1.569,bgd,1898
1.445,bgd,1899
1.493,bgd,1900
1.514,bgd,1901
1.631,bgd,1902
1.644,bgd,1903
1.641,bgd,1904
1.602,bgd,1905
1.638,bgd,1906
1.529,bgd,1907
1.542,bgd,1908
1.743,bgd,1909
1.735,bgd,1910
1.721,bgd,1911
1.716,bgd,1912
1.675,bgd,1913
1.765,bgd,1914
1.721,bgd,1915
1.769,bgd,1916
1.736,bgd,1917
1.512,bgd,1918
1.72,bgd,1919
1.582,bgd,1920
1.693,bgd,1921
1.746,bgd,1922
1.672,bgd,1923
1.737,bgd,1924
1.74,bgd,1925
1.776,bgd,1926
1.759,bgd,1927
1.759,bgd,1928
1.813,bgd,1929
1.808,bgd,1930
1.772,bgd,1931
1.767,bgd,1932
1.744,bgd,1933
1.736,bgd,1934
1.695,bgd,1935
1.737,bgd,1936
1.684,bgd,1937
1.665,bgd,1938
1.678,bgd,1939
1.71,bgd,1940
1.721,bgd,1941
1.693,bgd,1942
1.739,bgd,1943
1.701,bgd,1944
1.654,bgd,1945
1.549,bgd,1946
1.539,bgd,1947
1.537,bgd,1948
1.555,bgd,1949
1.477,bgd,1950
1.481,bgd,1951
1.501,bgd,1952
1.497,bgd,1953
1.497,bgd,1954
1.389,bgd,1955
1.508,bgd,1956
1.451,bgd,1957
1.395,bgd,1958
1.439,bgd,1959
1.49,bgd,1960
1.543,bgd,1961
1.505,bgd,1962
1.625,bgd,1963
1.61,bgd,1964
1.662,bgd,1965
1.65,bgd,1966
1.582,bgd,1967
1.693,bgd,1968
1.681,bgd,1969
1.722,bgd,1970
1.603,bgd,1971
1.382,bgd,1972
1.359,bgd,1973
1.496,bgd,1974
1.447,bgd,1975
1.479,bgd,1976
