"geo","time","pop","gdp","gini","u5mr"
"abw",1800,19286,833,,
"afg",1800,3280000,603,30.5,468.58
"ago",1800,1567028,618,48.9,485.68
"aia",1800,2025,,,
"alb",1800,410445,667,41.2,375.2
"and",1800,2654,1197,,
"are",1800,40153,998,45,434.46
"arg",1800,534000,1507,47.1,402.19
"arm",1800,413326,514,29.1,371.2
"asm",1800,8170,,,
"atg",1800,37000,757,,473.6
"aus",1800,351014,815,41.3,390.99
"aut",1800,3205587,1848,53.4,387.32
"aze",1800,879960,775,31.7,384
"bdi",1800,899097,418,43.7,423.95
"bel",1800,3138137,2412,62.4,322.4
"ben",1800,636559,597,48,430.46
"bfa",1800,1665421,480,37.5,454.69
"bgd",1800,19227358,876,41.8,507.88
"bgr",1800,1992320,1089,47.8,370.41
"bhr",1800,64474,1235,45,439.79
"bhs",1800,27350,1445,,471.04
"bih",1800,851806,669,26.2,378.8
"blr",1800,2355081,608,57.9,365.67
"blz",1800,25526,579,,467.2
"bmu",1800,9692,1227,,
"bol",1800,1100000,854,36.9,404.69
"bra",1800,3639636,1109,40.1,417.44
"brb",1800,81729,913,,469.76
"brn",1800,2128,1512,,454.69
"btn",1800,89989,629,46.8,463.36
"bwa",1800,121000,397,35.6,397.2
"caf",1800,479444,424,45.2,443.79
"can",1800,645526,1314,45.1,333.47
"chanisl",1800,43908,,,
"che",1800,1826051,2701,41.7,344.77
"chl",1800,771447,1026,47.1,417.44
"chn",1800,321675013,985,44.2,417.44
"civ",1800,1088530,812,38.1,427.86
"cmr",1800,1860054,626,56.2,460.21
"cod",1800,5163819,485,42.1,422.65
"cog",1800,314465,575,51.1,408.51
"cok",1800,16136,,,
"col",1800,1206000,963,58.9,417.44
"com",1800,56346,696,36.3,416.16
"cpv",1800,55716,529,50.5,394.71
"cri",1800,51987,775,50,441.12
"cub",1800,345043,864,36.5,414.89
"cym",1800,2439,1039,,
"cyp",1800,184392,853,29,339.12
"cze",1800,5516349,1915,34.9,379.99
"deu",1800,22886919,1639,53,340.25
"dji",1800,22848,752,41.5,445.15
"dma",1800,19950,663,,
"dnk",1800,1062514,2013,61,379.99
"dom",1800,89000,667,40.1,445.15
"dza",1800,2503218,716,57.7,460.21
"ecu",1800,500000,529,38,405.96
"egy",1800,4243515,791,57.7,404.69
"eri",1800,205010,532,45,441.12
"esh",1800,2788,,,
"esp",1800,11549294,1518,38,450.6
"est",1800,334136,938,48.9,362.15
"eth",1800,2948990,523,47.5,447.88
"fin",1800,977662,1244,50.6,420.04
"fji",1800,130533,785,47.6,498.88
"flk",1800,100,,,
"fra",1800,29355111,1803,59,412.34
"fro",1800,13537,,,
"fsm",1800,16416,518,,450.56
"gab",1800,158227,390,45.9,435.79
"gbm",1800,23533,,,
"gbr",1800,12327466,3431,59.3,329.04
"geo",1800,1072178,543,29.7,396.8
"gha",1800,2016034,696,58.4,471.38
"gib",1800,9873,,,
"gin",1800,983959,450,32.7,450.6
"glp",1800,80726,,,
"gmb",1800,103274,813,45,460.21
"gnb",1800,218167,777,49.8,417.44
"gnq",1800,80377,356,45,446.51
"grc",1800,2151155,1371,49.9,360.97
"grd",1800,29409,959,,472.32
"grl",1800,9584,393,,
"gtm",1800,458965,857,35.3,503.36
"guf",1800,9899,,,
"gum",1800,6053,,,
"guy",1800,166034,1214,38.2,429.16
"hkg",1800,20000,1007,,
"hnd",1800,126118,675,61.9,393.46
"hos",1800,905,,,
"hrv",1800,1227886,,,366.84
"hti",1800,723000,633,41.5,486.4
"hun",1800,3499771,1249,47.4,368.01
"idn",1800,16108545,994,51.7,443.79
"ind",1800,168574895,1052,32.8,509.39
"irl",1800,4064749,1447,44.6,348.22
"irn",1800,6269721,977,57.7,506.38
"irq",1800,1076920,970,57.7,427.86
"isl",1800,61428,926,,412.34
"isr",1800,209954,879,44.9,448
"ita",1800,18822234,2225,60.5,457.41
"jam",1800,401000,1170,39.1,389.77
"jor",1800,217000,976,38.8,421.34
"jpn",1800,30294378,1050,53.2,363.32
